Date,BCRP_net_worth
2021-03-02,999003.0843082047
2021-03-03,994725.0540038109
2021-03-04,984657.268355011
2021-03-05,1006263.7987047386
2021-03-08,1014407.8851897888
2021-03-09,1018602.6896783676
2021-03-10,1030333.5538714103
2021-03-11,1036929.9505649871
2021-03-12,1044967.1581805305
2021-03-15,1052011.930173771
2021-03-16,1050880.2054957047
2021-03-17,1055622.2003749695
2021-03-18,1046429.5339193878
2021-03-19,1039657.8789469299
2021-03-22,1045505.1687798309
2021-03-23,1035303.1423162995
2021-03-24,1036542.9207416459
2021-03-25,1042972.9799440651
2021-03-26,1061316.0808254203
2021-03-29,1063528.8326614304
2021-03-30,1058303.0613791465
2021-03-31,1057357.1724300042
2021-04-01,1065127.6516457633
2021-04-05,1077392.8258272514
2021-04-06,1072208.7909316216
2021-04-07,1074347.0814097482
2021-04-08,1076459.7398582574
2021-04-09,1085952.1808670731
2021-04-12,1081937.037322468
2021-04-13,1082051.859721409
2021-04-14,1083438.1976613845
2021-04-15,1094203.4646921426
2021-04-16,1099344.3296993102
2021-04-19,1096447.2624122237
2021-04-20,1087301.0162703248
2021-04-21,1097230.9123042754
2021-04-22,1086566.1363476869
2021-04-23,1092258.3041270333
2021-04-26,1091734.6450947113
2021-04-27,1092108.7410034905
2021-04-28,1087885.3072127837
2021-04-29,1093559.1994812735
2021-04-30,1086902.8847518654
2021-05-03,1095917.1255348166
2021-05-04,1095393.8147667046
2021-05-05,1100562.6592219886
2021-05-06,1110083.4068234635
2021-05-07,1118915.0187933845
2021-05-10,1113418.5611630136
2021-05-11,1097485.889654064
2021-05-12,1078202.6577794456
2021-05-13,1091122.8742425232
2021-05-14,1103792.3644236831
2021-05-17,1103240.5403065223
2021-05-18,1093879.245254547
2021-05-19,1087693.9078384743
2021-05-20,1094712.2342016373
2021-05-21,1097051.0639020728
2021-05-24,1104229.6452811507
2021-05-25,1100010.9225660209
2021-05-26,1098518.8835156327
2021-05-27,1100702.9897663575
2021-05-28,1102529.3238965455
2021-06-01,1103726.9088206368
2021-06-02,1108150.2968324432
2021-06-03,1106556.9387048606
2021-06-04,1113624.4218866997
2021-06-07,1109850.8177007027
2021-06-08,1110376.6230108032
2021-06-09,1106258.612728447
2021-06-10,1109161.9959291078
2021-06-11,1109935.9161751329
2021-06-14,1108415.5206820983
2021-06-15,1107269.7781620522
2021-06-16,1099712.626517254
2021-06-17,1094661.7252648964
2021-06-18,1077728.4490500106
2021-06-21,1097023.8083700638
2021-06-22,1100293.4998453332
2021-06-23,1097865.9913248024
2021-06-24,1107675.0173641471
2021-06-25,1110523.0156715736
2021-06-28,1105664.4413103333
2021-06-29,1106139.774990883
2021-06-30,1111114.2068926468
2021-07-01,1115129.4456455535
2021-07-02,1123079.2649189758
2021-07-06,1116248.4385631485
2021-07-07,1119777.550912098
2021-07-08,1110338.6570382728
2021-07-09,1124130.9744673462
2021-07-12,1126930.8542296754
2021-07-13,1125713.61247686
2021-07-14,1126839.8797871133
2021-07-15,1127979.842402031
2021-07-16,1118667.8899328231
2021-07-19,1095699.987896042
2021-07-20,1111978.0762498816
2021-07-21,1122501.0141161957
2021-07-22,1123112.218532917
2021-07-23,1131031.1628672217
2021-07-26,1134352.2356390494
2021-07-27,1130665.0623537712
2021-07-28,1125902.2446954118
2021-07-29,1130947.6889174043
2021-07-30,1125408.091020626
2021-08-02,1120183.5794983024
2021-08-03,1128145.4414791032
2021-08-04,1115342.505351921
2021-08-05,1124427.591333149
2021-08-06,1127465.4109922675
2021-08-09,1123502.032282463
2021-08-10,1127860.3550939788
2021-08-11,1134580.8106220702
2021-08-12,1133914.9126652183
2021-08-13,1133930.7506751176
2021-08-16,1138591.1669071654
2021-08-17,1129647.8180839692
2021-08-18,1115867.3226389235
2021-08-19,1113994.302019699
2021-08-20,1120479.6945967942
2021-08-23,1129213.1009886742
2021-08-24,1130708.8581236077
2021-08-25,1131803.9572716483
2021-08-26,1123652.3304507483
2021-08-27,1132244.2975686225
2021-08-30,1131968.6070683403
2021-08-31,1131251.5271080018
2021-09-01,1128716.1501119996
2021-09-02,1134207.419464943
2021-09-03,1132378.5830537605
2021-09-07,1126422.9677534485
2021-09-08,1124481.6338531761
2021-09-09,1118470.795671791
2021-09-10,1109887.4110969428
2021-09-13,1120313.5603391114
2021-09-14,1111336.1439000205
2021-09-15,1120760.160554283
2021-09-16,1118930.7232293778
2021-09-17,1112745.1345465584
2021-09-20,1092213.4693853837
2021-09-21,1092652.1558666953
2021-09-22,1103680.4518744927
2021-09-23,1119960.3969532088
2021-09-24,1123752.3925934867
2021-09-27,1126876.0345350876
2021-09-28,1110304.1166740188
2021-09-29,1113266.3190747604
2021-09-30,1094920.8730752068
2021-10-01,1114245.9238976212
2021-10-04,1103799.954115738
2021-10-05,1112382.9051994018
2021-10-06,1113756.1615893363
2021-10-07,1126486.096128952
2021-10-08,1126556.4953885993
2021-10-11,1118407.858376236
2021-10-12,1112334.9530222474
2021-10-13,1110095.6682740212
2021-10-14,1129174.9722627793
2021-10-15,1141692.0588250542
2021-10-18,1140618.040439335
2021-10-19,1151026.734801197
2021-10-20,1157779.635170475
2021-10-21,1158527.004846653
2021-10-22,1158780.9744888763
2021-10-25,1160570.6293585664
2021-10-26,1159387.3379468003
2021-10-27,1149358.1786802292
2021-10-28,1156829.9505257301
2021-10-29,1160825.9495920716
2021-11-01,1163134.9164896775
2021-11-02,1166770.364582447
2021-11-03,1168863.0173226432
