Date,CRP_net_worth
2021-02-09,999003.052346653
2021-02-10,1000281.514011158
2021-02-11,1000889.8532533455
2021-02-12,1002336.2602850876
2021-02-16,1003271.4909980774
2021-02-17,1007320.4788870392
2021-02-18,1004101.476207428
2021-02-19,1002903.2549172783
2021-02-22,1003702.3640580864
2021-02-23,1004771.4329846879
2021-02-24,1017376.1185969162
2021-02-25,1001028.4684611092
2021-02-26,985946.3412632255
2021-03-01,1004352.960981369
2021-03-02,999103.8633498115
2021-03-03,995815.3352338524
2021-03-04,984741.3603166237
2021-03-05,1004018.7229962272
2021-03-08,1013834.0996893425
2021-03-09,1015500.0793759994
2021-03-10,1030199.0178209686
2021-03-11,1035017.749060524
2021-03-12,1043109.6472827378
2021-03-15,1051161.8801388969
2021-03-16,1048120.1037430381
2021-03-17,1052547.4395502242
2021-03-18,1045007.6198173104
2021-03-19,1037693.7259785119
2021-03-22,1043069.61170232
2021-03-23,1034356.5983291091
2021-03-24,1033543.588136612
2021-03-25,1039653.5116285859
2021-03-26,1056271.1297904586
2021-03-29,1059959.1456743584
2021-03-30,1055073.554399826
2021-03-31,1053383.5317095567
2021-04-01,1058601.0759978753
2021-04-05,1071930.2985765724
2021-04-06,1068679.0430871276
2021-04-07,1069992.1543656082
2021-04-08,1070340.78932658
2021-04-09,1078001.560130375
2021-04-12,1075016.553727478
2021-04-13,1072578.0231810075
2021-04-14,1073260.89252219
2021-04-15,1080351.9391764565
2021-04-16,1085578.8158893662
2021-04-19,1082316.6184348296
2021-04-20,1075063.3142685813
2021-04-21,1084922.0044928398
2021-04-22,1074471.3243621178
2021-04-23,1078936.9843679504
2021-04-26,1076390.6646821403
2021-04-27,1075448.9139219665
2021-04-28,1071752.447437851
2021-04-29,1078876.6861816978
2021-04-30,1073484.384385479
2021-05-03,1081306.649770935
2021-05-04,1080397.6587203331
2021-05-05,1083635.6840470314
2021-05-06,1093595.3749492723
2021-05-07,1100613.88575029
2021-05-10,1099479.2024123154
2021-05-11,1085388.2399213752
2021-05-12,1065843.7630285493
2021-05-13,1079586.3802044906
2021-05-14,1090857.4347680665
2021-05-17,1089863.9646681289
2021-05-18,1081740.1945100212
2021-05-19,1077058.0211700096
2021-05-20,1083933.6870744096
2021-05-21,1086328.2963104248
2021-05-24,1092973.263581806
2021-05-25,1089339.8802466774
2021-05-26,1088250.8127816848
2021-05-27,1092129.0249643554
2021-05-28,1093855.0726863442
2021-06-01,1094342.3610786744
2021-06-02,1097490.4136545907
2021-06-03,1097243.4586174774
2021-06-04,1103974.491503624
2021-06-07,1100259.8481030387
2021-06-08,1098873.3957725945
2021-06-09,1095222.1878881797
2021-06-10,1098931.4570176164
2021-06-11,1099733.1674827805
2021-06-14,1097267.1489497642
2021-06-15,1094710.2108634338
2021-06-16,1086352.5093232002
2021-06-17,1080471.3431241494
2021-06-18,1062496.0060849763
2021-06-21,1080192.2653673287
2021-06-22,1081882.8106536178
