Date,OLMAR_net_worth
2021-03-02,999150.2292621281
2021-03-03,995863.6705653813
2021-03-04,984794.6190402653
2021-03-05,1004113.8003108647
2021-03-08,1014029.5547320988
2021-03-09,1015263.1994350102
2021-03-10,1030039.789709821
2021-03-11,1034834.3727901127
2021-03-12,1043230.8413531926
2021-03-15,1051138.267267957
2021-03-16,1047807.1487720158
2021-03-17,1052329.1845119146
2021-03-18,1044720.6495196965
2021-03-19,1037452.6897609379
2021-03-22,1042737.3518932011
2021-03-23,1033894.780939832
2021-03-24,1033133.1482494023
2021-03-25,1039450.6503474858
2021-03-26,1056108.4245708135
2021-03-29,1059911.7344882635
2021-03-30,1054898.7096851019
2021-03-31,1053225.1289737371
2021-04-01,1058122.0763080267
2021-04-05,1071728.8865649847
2021-04-06,1068156.691298261
2021-04-07,1069384.7122104315
2021-04-08,1069742.743769422
2021-04-09,1077380.5856998113
2021-04-12,1074370.6955783514
2021-04-13,1072019.521857038
2021-04-14,1072507.4397571234
2021-04-15,1079654.3669688848
2021-04-16,1084915.3449466375
2021-04-19,1081660.2312991766
2021-04-20,1074751.8208682684
2021-04-21,1084524.6551997808
2021-04-22,1074022.2241580633
2021-04-23,1078526.7962062506
2021-04-26,1075644.2675998358
2021-04-27,1074659.0673549322
2021-04-28,1070814.4932315496
2021-04-29,1077905.8916156439
2021-04-30,1072436.4226024298
2021-05-03,1080486.4516399053
2021-05-04,1079777.184859052
2021-05-05,1083074.731985822
2021-05-06,1093098.8257548956
2021-05-07,1099894.819021955
2021-05-10,1099237.264170423
2021-05-11,1084807.3168857244
2021-05-12,1064136.544552049
2021-05-13,1075717.4620439617
2021-05-14,1078161.768680772
2021-05-17,1088947.027641496
2021-05-18,1081578.3816454022
2021-05-19,1079121.1969492047
2021-05-20,1084451.695446214
2021-05-21,1082194.7943040936
2021-05-24,1084175.218795976
2021-05-25,1071579.740909776
2021-05-26,1069059.0262643902
2021-05-27,1061658.3386118023
2021-05-28,1062246.0011980145
2021-06-01,1057501.2126772015
2021-06-02,1063877.9737321942
2021-06-03,1075075.9613878338
2021-06-04,1079712.7372324078
2021-06-07,1068192.692962846
2021-06-08,1064603.529403886
2021-06-09,1074938.4543954937
2021-06-10,1092286.7718088238
2021-06-11,1093622.2769434063
2021-06-14,1091066.7563364117
2021-06-15,1091735.511787614
2021-06-16,1094482.6905672161
2021-06-17,1096302.6831514447
2021-06-18,1083042.1475565045
2021-06-21,1092649.6716997235
2021-06-22,1089264.2258798687
2021-06-23,1083288.5195581524
2021-06-24,1093447.988552293
2021-06-25,1103885.5990335552
2021-06-28,1099239.23751851
2021-06-29,1101624.1057321636
2021-06-30,1108775.747638902
2021-07-01,1111520.836296281
