,date,dji
0,2022-03-15,1000000.0
1,2022-03-16,1015464.9553744803
2,2022-03-17,1027915.9428792417
3,2022-03-18,1036089.2433533926
4,2022-03-21,1030069.1097871742
5,2022-03-22,1037655.2676139593
6,2022-03-23,1024271.1634821962
7,2022-03-24,1034688.4621345977
8,2022-03-25,1039258.4395350791
9,2022-03-28,1042080.1478826241
10,2022-03-29,1052165.3301466308
11,2022-03-30,1050216.184245875
12,2022-03-31,1033806.3507593902
13,2022-04-01,1037977.4857228963
14,2022-04-04,1041066.2147151084
15,2022-04-05,1032698.2092615055
16,2022-04-06,1028385.4706765801
17,2022-04-07,1030980.7995504085
18,2022-04-08,1035081.3656038982
19,2022-04-11,1022768.0224087732
20,2022-04-12,1020153.0134263757
21,2022-04-13,1030414.9673164636
22,2022-04-14,1027035.5782592327
23,2022-04-18,1025856.8678513316
24,2022-04-19,1040747.8394676078
25,2022-04-20,1048188.4343611901
26,2022-04-21,1037217.0649598462
27,2022-04-22,1007961.3608434079
28,2022-04-25,1015058.3107642856
29,2022-04-26,990932.5937649457
30,2022-04-27,992773.4408433986
31,2022-04-28,1011091.3132583029
32,2022-04-29,983093.1564343882
33,2022-05-02,985605.9220125042
34,2022-05-03,987611.8956823822
35,2022-05-04,1015404.0518432285
36,2022-05-05,983711.9735760189
37,2022-05-06,980772.6503784462
38,2022-05-09,961285.849384752
39,2022-05-10,958753.1125722006
40,2022-05-11,949015.8257185481
41,2022-05-12,945921.1577586615
42,2022-05-13,959823.9317340121
43,2022-05-16,960621.6748331354
44,2022-05-17,973475.4058614817
45,2022-05-18,938759.5778954418
46,2022-05-19,931696.1074492006
47,2022-05-20,931957.5384772324
48,2022-05-23,950391.0460862727
49,2022-05-24,951833.2836284437
50,2022-05-25,957546.9198825109
51,2022-05-26,972956.677792721
52,2022-05-27,990121.1677501013
53,2022-05-31,983478.0248297758
54,2022-06-01,978204.6873360598
55,2022-06-02,991174.1117837154
56,2022-06-03,980782.4322075574
57,2022-06-06,981261.8582843533
58,2022-06-07,989142.7519382869
59,2022-06-08,981116.2953511508
60,2022-06-09,962093.4325381599
61,2022-06-10,935859.4984646605
62,2022-06-13,909743.3539167085
63,2022-06-14,905214.7163892566
64,2022-06-15,914268.3814834168
65,2022-06-16,892164.5336262602
66,2022-06-17,891023.0291040859
67,2022-06-21,910146.0974402933
68,2022-06-22,908741.4151348885
69,2022-06-23,914531.6174918202
70,2022-06-24,939075.8570367044
71,2022-06-27,937215.0387238159
72,2022-06-28,922569.6608884393
73,2022-06-29,925023.735491888
74,2022-06-30,917455.2198926072
75,2022-07-01,927049.389270335
76,2022-07-05,923190.6323614814
77,2022-07-06,925273.2303593972
78,2022-07-07,935613.9046837611
79,2022-07-08,934230.6492421236
80,2022-07-11,929332.3400895107
81,2022-07-12,923593.3758850663
82,2022-07-13,917376.4994583313
83,2022-07-14,913124.8390801774
84,2022-07-15,932743.3454158332
85,2022-07-18,926314.5293583551
86,2022-07-19,948805.3999423105
87,2022-07-20,950230.0534821507
88,2022-07-21,955061.2872351438
89,2022-07-22,950958.9162012826
90,2022-07-25,953664.2906526121
91,2022-07-26,946852.4111801183
