account_rewards,date
13680.107463718392,2022-01-03
-3846.3570839233,2022-01-04
-2902.542150817928,2022-01-05
1915.2655078582466,2022-01-06
-4418.339756114874,2022-01-07
-1183.0134606208885,2022-01-10
5223.634436294553,2022-01-11
2680.537734092679,2022-01-12
4247.433633140521,2022-01-13
-12107.691802139161,2022-01-14
-6591.199071167037,2022-01-18
-10661.750644576969,2022-01-19
-8997.094247165718,2022-01-20
667.8214979401091,2022-01-21
-7690.02646778489,2022-01-24
-5982.990315582254,2022-01-25
-920.6275517616887,2022-01-26
-3353.355909572565,2022-01-27
-997.014156425721,2022-01-28
1143.6077170561766,2022-01-31
-265.84630283352453,2022-02-01
-10114.282647865126,2022-02-02
2799.1802449491806,2022-02-03
617.9009470100282,2022-02-04
12653.547829338117,2022-02-07
8350.582497199997,2022-02-08
-12822.092387054348,2022-02-09
-19786.65307566838,2022-02-10
-5997.979540756205,2022-02-11
18448.098039070144,2022-02-14
-2396.2589383850573,2022-02-15
-18883.165481460514,2022-02-16
-8031.612199546886,2022-02-17
-20533.533120651147,2022-02-18
-12191.564452610095,2022-02-22
-1452.5161633910611,2022-02-23
23017.117429851554,2022-02-24
-2841.6338057251414,2022-02-25
-20049.279628200457,2022-02-28
19432.5462994423,2022-03-01
-3258.1025594711537,2022-03-02
-6973.192393688136,2022-03-03
-18602.46981747821,2022-03-04
-287.5235238953028,2022-03-07
17910.064380119322,2022-03-08
-8559.859279876691,2022-03-09
-4797.025842338568,2022-03-10
-3482.0219367026584,2022-03-11
14471.40385895921,2022-03-14
13093.451294353465,2022-03-15
11871.81420323567,2022-03-16
5456.919442565879,2022-03-17
-1889.3513861922547,2022-03-18
5896.99482323078,2022-03-21
-6705.291499702493,2022-03-22
9620.268828659086,2022-03-23
4317.1343099250225,2022-03-24
106.6140092543792,2022-03-25
5174.4097372818505,2022-03-28
1905.4812691193074,2022-03-29
-11478.272126506898,2022-03-30
-823.7639159087557,2022-03-31
