date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,100,0,0,0,0,100,-100,0,-24,-43,100,0,0,100,100,34,1,-38,0,-100,-74,100,-100,100,-82,-100,100,0,0
2022-01-04,100,91,68,0,100,-58,13,0,-100,0,-100,100,0,0,-100,-52,-1,0,-13,-91,0,-100,-100,0,82,0,-19,0,95
2022-01-05,-100,1,-68,0,0,0,100,0,-100,30,0,0,0,-16,-100,0,0,0,-35,-45,-26,0,100,-8,100,0,0,0,-34
2022-01-06,-23,0,0,0,0,100,-100,0,0,-30,0,-100,0,0,0,0,0,0,0,0,0,0,0,-75,73,-9,1,0,-46
2022-01-07,100,-92,0,0,100,-44,-100,0,1,0,0,0,1,-75,0,-100,0,-52,0,0,0,0,-92,0,100,-30,0,100,0
2022-01-10,-23,0,0,0,100,-100,0,100,0,0,0,0,-1,-45,-39,100,3,9,100,-70,0,-94,0,-34,0,-39,100,100,-100
2022-01-11,-59,24,87,0,0,0,-71,0,-76,0,0,100,0,100,100,-25,-3,-100,100,67,0,0,57,0,-61,-68,100,86,3
2022-01-12,-95,0,-17,100,0,44,100,-12,-45,0,100,-22,0,0,-100,0,100,0,-65,-47,0,0,0,0,-34,0,5,-100,0
2022-01-13,0,0,-70,-51,0,0,0,-65,0,100,-100,0,0,0,0,0,0,0,-89,-100,100,0,0,0,23,0,100,6,100
2022-01-14,0,-24,0,0,0,0,-100,-23,0,0,0,-19,0,0,0,-31,-100,94,0,0,0,0,0,0,0,0,3,-1,100
2022-01-18,0,0,0,-3,100,0,-14,0,0,0,43,0,100,100,84,-18,0,-89,-16,-100,-100,0,0,0,0,0,75,-12,-100
2022-01-19,100,0,0,0,-37,-100,-31,100,100,0,0,23,-32,0,0,0,0,-24,100,-100,0,0,-78,0,0,0,0,1,0
