date,ensemble,dji
2021-04-06,1000000.0,1000000.0
2021-04-07,999971.4804311602,1000479.3097005528
2021-04-08,1000679.8080291598,1002193.5838635985
2021-04-09,1004817.8901596608,1011078.6910381588
2021-04-12,1003050.128766739,1009427.3978425923
2021-04-13,1004259.7951081544,1007389.4552566964
2021-04-14,1001805.151058304,1008993.4250907995
2021-04-15,1012735.4316786808,1018119.8229849215
2021-04-16,1016821.8115563816,1023046.0096415799
2021-04-19,1012243.7608540612,1019365.4205977676
2021-04-20,1007992.949581982,1011697.8675625934
2021-04-21,1015042.725781506,1021150.6213791055
2021-04-22,1008423.6894757733,1011536.2670467804
2021-04-23,1014974.8287343103,1018344.1707726013
2021-04-26,1012522.4161401103,1016492.0161983777
2021-04-27,1011037.2433973276,1016592.5053116091
2021-04-28,1003018.355854359,1011670.2914803576
2021-04-29,1009421.6939806712,1018848.8364470742
2021-04-30,1004023.249387852,1013299.7341361869
2021-05-03,1013962.0955380824,1020430.3715024092
2021-05-04,1014592.082155354,1021022.6730314447
2021-05-05,1013427.7408736728,1023933.4687287811
2021-05-06,1022133.5511623156,1033451.540468894
2021-05-07,1030152.63849939,1040308.5202732696
2021-05-10,1030459.9079631008,1039263.3166478563
2021-05-11,1016993.3585736278,1025094.7022256352
2021-05-12,996333.109284878,1004708.9665851496
2021-05-13,1008882.7775006908,1017684.9154506802
2021-05-14,1019057.5142712444,1028473.9407775592
2021-05-17,1017592.3621622204,1026848.4709471369
2021-05-18,1016651.2760074276,1018857.8337281427
2021-05-19,1011564.9791582796,1013933.5166363816
2021-05-20,1018305.3857494396,1019560.4395861204
2021-05-21,1025060.19981255,1023260.4253657424
2021-05-24,1030561.1356133922,1028828.4570212151
2021-05-25,1032411.630639992,1026389.9601560667
2021-05-26,1031272.215028725,1026706.7345583581
2021-05-27,1039240.403922089,1030942.116985453
2021-05-28,1035776.2669579472,1032880.7389361778
2021-06-01,1037825.665428818,1034252.5321795937
2021-06-02,1040102.1185156712,1035002.4613990352
2021-06-03,1036836.5583497472,1034304.2957576885
2021-06-04,1040401.8441697392,1039669.2459261889
2021-06-07,1038045.744412228,1035895.6460287345
2021-06-08,1036867.9101780131,1034985.7521627652
2021-06-09,1033734.9700496868,1030418.6388142005
2021-06-10,1039826.204905392,1030989.9077381408
2021-06-11,1036998.6933468592,1031389.6440827512
2021-06-14,1033832.1662776874,1028821.5630006563
2021-06-15,1033287.96015815,1025997.117832015
2021-06-16,1021641.7795856404,1018050.5322359144
2021-06-17,1018856.6598232196,1011762.133855939
2021-06-18,1004792.7621058964,995807.3838699316
2021-06-21,1024784.691930222,1013363.0656470838
2021-06-22,1024562.9563999064,1015415.3805131279
2021-06-23,1017965.430913914,1013281.3890306319
2021-06-24,1030000.40116309,1022930.7977047819
2021-06-25,1034384.8168735394,1030020.7720344873
2021-06-28,1025067.805826176,1025516.7565012076
2021-06-29,1019228.2546596417,1025786.5580854532
2021-06-30,1030872.3909244428,1032074.9564654286
2021-07-01,1033116.2129535564,1035994.1487292625
2021-07-02,1034959.0758533368,1040565.4685988463
2021-07-06,1021678.543076592,1034314.2278212056
2021-07-07,1024661.2555050434,1037437.6865256134
2021-07-08,1016927.5445364766,1029664.5030737399
2021-07-09,1024677.7752950748,1043072.4382783598
2021-07-12,1023530.2421806952,1046842.0653504074
