date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1002260.0182216644,1005865.5049902436
2022-01-05,996052.8980819702,995136.0138376162
2022-01-06,990797.3347891084,990471.7975821542
2022-01-07,988980.0174673308,990340.3615824638
2022-01-10,983145.4605673064,985890.7565044003
2022-01-11,985460.7463796844,990896.8558394794
2022-01-12,985495.329753708,991943.7526526102
2022-01-13,981453.4623831024,987113.9334438421
2022-01-14,972979.3603780976,981597.6787825888
2022-01-18,955973.786266159,966746.2649914182
2022-01-19,946048.0162618866,957457.7651075325
2022-01-20,938269.6774404754,948895.3129879801
2022-01-21,926170.251323532,936594.6758276811
2022-01-24,930720.4481313934,939304.2220211355
2022-01-25,928271.900203537,937479.1728394073
2022-01-26,925237.62647612,933935.63266254
2022-01-27,924872.9175222624,933735.8627556182
2022-01-28,933936.957561325,949170.7840515067
2022-01-31,933003.0412574766,960278.8877588881
2022-02-01,935109.1644424436,967751.3072863698
2022-02-02,940964.3351066586,973876.4811240927
2022-02-03,930250.3082433012,959713.1043613582
2022-02-04,931182.5519045752,959127.5681937693
2022-02-07,931426.0836504856,959165.5789296668
2022-02-08,937049.4987696568,969324.1616417221
2022-02-09,946174.7413233678,977668.4791167842
2022-02-10,935597.817327396,963278.2124276955
2022-02-11,922408.7761515538,949514.9093374547
2022-02-14,917563.5549906652,944816.6329001071
2022-02-15,928741.9467791478,956369.6544066027
2022-02-16,927963.99683942,954878.0533378178
2022-02-17,911621.66896619,937870.0641431168
2022-02-18,906289.403493778,931505.4013148939
2022-02-22,888909.0018099706,918315.0353280962
2022-02-23,877282.4530962865,905609.092680531
2022-02-24,877715.3240488927,908125.5955860567
2022-02-25,898806.9510783117,930946.9851667373
2022-02-28,893753.8155688207,926405.5564008318
2022-03-01,881124.4696329992,910069.5884750595
2022-03-02,899162.6000231664,926371.3894472161
2022-03-03,894934.7241953771,923728.4688133122
2022-03-04,891199.5376452367,918812.2712749346
2022-03-07,872275.9390200536,897015.8903027246
2022-03-08,868934.4016207616,891966.3348735155
2022-03-09,884975.8392123143,909831.8078322402
2022-03-10,884041.3006533544,906765.5372886921
2022-03-11,878475.7068423192,900482.1277470364
2022-03-14,877437.0376986425,900510.7425706895
2022-03-15,894208.7617129247,916886.32280831
2022-03-16,907226.9371546666,931065.9288740121
2022-03-17,917076.2225741307,942482.0690225849
2022-03-18,922054.0887011448,949976.0564395365
2022-03-21,915535.0257319371,944456.2783111915
2022-03-22,921770.1723307532,951411.9226652359
2022-03-23,909707.4272746008,939140.2206437801
2022-03-24,916530.2706889074,948691.6992987766
2022-03-25,920040.6585940282,952881.849072821
2022-03-28,921819.186899082,955469.0348636392
2022-03-29,929469.7032832068,964716.0005445358
2022-03-30,928975.8234080236,962928.855326975
2022-03-31,912634.3965777318,947882.9034436552
2022-04-01,915093.9838313024,951707.3600422817
2022-04-04,916081.4529818456,954539.3734101022
2022-04-05,906839.6599060704,946866.8636605087
2022-04-06,898418.749431278,942912.5726381426
2022-04-07,902885.648609348,945292.1941857454
2022-04-08,901472.4447924268,949051.947115962
2022-04-11,885105.0850206983,937762.0111523072
2022-04-12,884176.9900347363,935364.345182326
2022-04-13,896558.4362627637,944773.3903494372
2022-04-14,892857.9751803052,941674.8747434141
2022-04-18,890627.3203875195,940594.1312918579
2022-04-19,900620.1488939893,954247.4595001481
2022-04-20,905871.8934771192,961069.6391916312
2022-04-21,895061.0621706616,951010.1406450614
2022-04-22,874485.940252937,924185.9856765724
2022-04-25,879608.9452044141,930693.0819926808
2022-04-26,855470.8015658032,908572.5420480419
2022-04-27,855034.9688860547,910260.389556657
2022-04-28,871991.4247728955,927055.7962368303
2022-04-29,846746.9206682813,901384.669181141
2022-05-02,851287.0170961987,903688.589572139
2022-05-03,851994.1749025952,905527.8393939637
2022-05-04,874144.8227831494,931010.0872591964
2022-05-05,848369.2173372876,901952.0541546214
2022-05-06,846931.7523104321,899257.0289164537
2022-05-09,820565.370558418,881389.8476100483
2022-05-10,822593.5269457471,879067.6158673469
2022-05-11,812100.1419436109,870139.6307299716
2022-05-12,806305.1865679395,867302.1720039186
2022-05-13,821030.7741076123,880049.4353110127
2022-05-16,824154.0905672681,880780.8750477136
2022-05-17,840662.1384874951,892566.2852246611
2022-05-18,839821.4983317639,860735.817377633
2022-05-19,837032.9244048382,854259.4179339136
2022-05-20,836866.2603110577,854499.1204678736
2022-05-23,840313.4817446973,871400.5514759857
2022-05-24,839515.6632705,872722.919352643
2022-05-25,842895.2158648756,877961.6742874989
2022-05-26,853272.8158839489,892090.6705531576
2022-05-27,869842.3186999738,907828.5566330603
2022-05-31,868129.9661420666,901737.549748953
2022-06-01,862038.3254761731,896902.4987254125
2022-06-02,872469.0154807202,908793.9866161636
2022-06-03,863301.1039368397,899265.9977417779
2022-06-06,863311.9470879323,899705.5769543898
2022-06-07,871069.4492775685,906931.4605571884
2022-06-08,864747.7616249806,899572.1122918285
2022-06-09,843230.2367150075,882130.3095579384
2022-06-10,825024.5027825123,858076.7742124917
2022-06-13,798828.7262017018,834131.2384719898
2022-06-14,797541.9455200917,829978.9926621128
