account_rewards,date
-1397.2974876402877,2022-10-04
-9460.807802391006,2022-10-05
-17458.72578907013,2022-10-06
-6461.375407104497,2022-10-07
-727.2327102661366,2022-10-10
-373.76254076196346,2022-10-11
22520.034889534,2022-10-12
-10035.104155921843,2022-10-13
18366.545439781155,2022-10-14
8291.033062210074,2022-10-17
-2852.677848815918,2022-10-18
-5195.189281463623,2022-10-19
21469.639030456543,2022-10-20
12756.62018585205,2022-10-21
10181.651809692383,2022-10-24
2628.1298484802246,2022-10-25
2249.835624694824,2022-10-26
30550.277545928955,2022-10-27
-4088.911964416504,2022-10-28
-9041.505599975586,2022-10-31
-16783.11386489868,2022-11-01
-7541.424537658691,2022-11-02
7403.903625488281,2022-11-03
9235.790576934814,2022-11-04
10499.851238250732,2022-11-07
-22011.35010910034,2022-11-08
32995.35340118408,2022-11-09
-10508.09878540039,2022-11-10
-9720.633445739746,2022-11-11
-7779.09338760376,2022-11-14
1963.5055541992188,2022-11-15
3213.30082321167,2022-11-16
15497.055667877197,2022-11-17
-11160.444091796875,2022-11-18
12745.45651626587,2022-11-21
5741.045478820801,2022-11-22
3075.389129638672,2022-11-23
-14531.127136230469,2022-11-25
-2051.3905143737793,2022-11-28
29470.866649627686,2022-11-29
-8402.766284942627,2022-11-30
998.5924835205078,2022-12-01
-7050.700695037842,2022-12-02
-4251.496448516846,2022-12-05
2155.1115684509277,2022-12-06
7139.779819488525,2022-12-07
-10515.409702301025,2022-12-08
15612.311874389648,2022-12-09
-3286.212329864502,2022-12-12
-5876.917552947998,2022-12-13
-24026.44594192505,2022-12-14
-8182.936527252197,2022-12-15
-3463.984058380127,2022-12-16
-1374.5084037780762,2022-12-19
16182.614711761475,2022-12-20
-8625.096408843994,2022-12-21
5639.963531494141,2022-12-22
870.4581031799316,2022-12-23
-13147.094074249268,2022-12-27
9661.33268737793,2022-12-28
-288.83679962158203,2022-12-29
-13905.380374908447,2022-12-30
