date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,100,-19,0,0,0,0,0,-100,0,0,0,100,-85,0,-100,0,100,0,41,0,0,0,-96,-82,100,-100,0,0,0
2022-04-05,21,100,100,0,0,0,0,-40,100,0,-23,0,-100,100,-42,0,2,0,-41,0,0,0,-100,-100,0,0,0,0,100
2022-04-06,100,100,0,100,0,0,33,-55,-62,0,-20,-1,-40,-21,-100,0,0,0,0,0,0,0,-100,100,0,-100,100,0,-12
2022-04-07,-65,0,0,-100,0,100,-25,100,0,1,0,-39,0,0,-93,100,3,0,0,80,0,0,-64,100,18,-100,-100,90,72
2022-04-08,0,100,55,0,0,-100,-6,-73,0,0,0,0,-69,0,100,-75,1,0,0,100,0,0,0,0,0,-23,0,0,-100
2022-04-11,-41,-38,0,0,0,0,0,-97,72,-1,-67,0,-29,0,-100,0,100,0,0,-42,100,0,-32,0,100,-77,0,100,-100
2022-04-12,-100,-50,-45,0,31,0,-2,-100,0,0,-49,60,-79,-69,-65,-25,-26,0,0,-100,0,0,-8,100,100,62,0,67,-3
2022-04-13,0,100,0,0,0,0,0,0,100,0,-100,-17,0,0,0,0,0,0,0,0,-29,0,0,-42,0,35,0,100,0
2022-04-14,-100,-28,0,0,-8,0,0,-100,1,0,-100,0,0,-100,0,100,-100,0,0,-38,93,0,0,-40,100,0,0,0,0
2022-04-18,100,0,-70,1,-23,0,0,-35,-82,0,-100,0,0,0,0,0,-30,0,1,0,-5,0,0,0,89,0,0,100,-32
2022-04-19,0,100,-40,100,0,0,0,0,-54,0,0,100,0,1,0,0,21,0,-1,100,0,0,0,0,-100,0,0,-100,0
2022-04-20,0,0,100,-13,0,100,0,0,0,0,-13,10,0,1,0,-82,-100,0,0,-9,0,0,0,0,0,-97,0,-2,100
2022-04-21,0,0,0,-58,0,-14,0,0,-75,0,0,-9,0,0,0,-18,100,0,0,0,0,0,50,100,-12,0,0,-90,100
2022-04-22,-37,-21,0,100,0,0,0,0,95,0,0,-11,0,100,0,0,-100,0,0,100,-100,0,-29,7,0,0,0,89,84
2022-04-25,-100,0,100,0,0,-85,0,0,0,0,0,0,0,-15,0,0,-100,0,0,0,0,0,-20,37,0,100,0,1,-79
2022-04-26,0,0,0,0,0,-1,0,0,-56,0,0,0,0,3,0,0,-28,0,0,-100,0,0,-1,1,40,-11,0,0,-33
2022-04-27,100,0,51,-71,0,0,0,0,-39,0,0,-24,0,-100,0,0,-52,0,100,-89,0,0,0,1,0,0,0,0,-21
2022-04-28,-12,-100,0,-59,0,0,0,0,0,0,0,100,0,-1,0,100,-42,97,100,-2,0,0,0,-84,-18,-29,1,-100,100
