account_rewards,date
21343.054550317815,2020-10-02
-23373.91746802139,2020-10-05
28200.69049551757,2020-10-06
8400.313139762962,2020-10-07
9396.116615146631,2020-10-08
10615.359159530606,2020-10-09
-10644.124563373392,2020-10-12
-10094.49005397805,2020-10-13
-2242.358430274995,2020-10-14
3838.5057505492587,2020-10-15
-17815.916451019235,2020-10-16
1131.421953018289,2020-10-19
-8661.453590152785,2020-10-20
4891.811100849183,2020-10-21
2809.074518928537,2020-10-22
-29029.670684311073,2020-10-23
-3697.9364384498913,2020-10-26
-45935.35882096086,2020-10-27
8861.43189932825,2020-10-28
-17867.78218150325,2020-10-29
19176.940303291194,2020-10-30
25661.29634809494,2020-11-02
12069.804628566839,2020-11-03
27224.13416127581,2020-11-04
-4152.901063034078,2020-11-05
27390.546534778783,2020-11-06
-1345.7868157958146,2020-11-09
230.61273569078185,2020-11-10
-2416.4789660603274,2020-11-11
3460.4475295564625,2020-11-12
7565.293002487626,2020-11-13
-902.8676856155507,2020-11-16
-9020.773262977367,2020-11-17
-898.095789760584,2020-11-18
-6212.141427986091,2020-11-19
9837.222781318706,2020-11-20
14855.605464824708,2020-11-23
-4739.417103866581,2020-11-24
-812.3240343285725,2020-11-25
-4037.8398762550205,2020-11-27
8644.086406591348,2020-11-30
10191.643892494263,2020-12-01
10142.187772403704,2020-12-02
1841.2448745842557,2020-12-03
959.6387472115457,2020-12-04
1439.2006704979576,2020-12-07
-8316.011131008156,2020-12-08
-4878.510832954431,2020-12-09
1696.209934554994,2020-12-10
-6940.109204460168,2020-12-11
18034.548750503454,2020-12-14
-4529.923000984127,2020-12-15
1441.6565503082238,2020-12-16
-5364.08764495072,2020-12-17
855.7489044836257,2020-12-18
-1805.5588558081072,2020-12-21
2783.5150206221733,2020-12-22
2887.9027709884103,2020-12-23
10419.978585968027,2020-12-24
-5726.018791122362,2020-12-28
-2999.2124396704603,2020-12-29
6595.088138683233,2020-12-30
