date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-04,0,-33,0,99,-60,99,-99,99,-25,-100,0,99,0,99,0,38,95,-99,0,99,-63,0,0,0,0,0,87,0,-97
2021-10-05,0,-26,0,100,0,27,0,98,99,-99,0,-100,99,99,0,0,-100,-99,0,99,-86,100,0,0,0,99,1,0,-99
2021-10-06,94,-15,0,97,-92,99,39,-57,0,-99,0,99,99,51,0,11,-98,-84,100,99,-93,-100,0,99,0,-22,-17,3,-99
2021-10-07,-94,-60,0,-98,0,91,100,-96,95,7,0,92,-99,99,95,0,68,-73,-99,96,-6,0,0,-99,99,-77,-71,57,-100
2021-10-08,36,-90,0,99,-46,95,-99,-88,11,-66,96,-100,100,87,-92,-48,-99,-86,-1,94,0,100,0,20,-97,0,43,64,64
2021-10-11,100,-100,0,-99,-100,0,-100,0,100,100,100,0,100,-100,-3,13,1,0,0,0,0,0,0,0,0,0,0,-99,-100
2021-10-12,-99,-60,0,-71,-99,56,99,-78,99,20,55,-99,-98,97,0,-14,73,0,0,97,0,-74,0,-20,99,0,-6,43,-89
2021-10-13,99,-87,0,-24,-77,0,99,-87,99,28,-75,99,-99,98,0,0,99,0,1,98,0,-26,0,0,-12,0,2,0,100
2021-10-14,19,-86,0,86,96,85,-100,-99,99,-98,-85,-99,99,99,0,0,-99,-10,-1,97,0,99,0,58,-71,0,53,-41,-99
2021-10-15,100,-100,0,0,-100,100,-100,0,100,0,0,37,100,-99,0,0,0,-99,0,0,0,100,100,-58,0,0,1,-27,-99
2021-10-18,-99,-47,78,91,96,41,36,-98,-98,-50,-91,-99,73,-98,0,0,-99,-69,98,82,0,-99,-89,0,95,0,20,0,-89
2021-10-19,100,-49,0,0,-100,100,-100,0,100,100,0,1,0,-100,0,0,1,0,-98,0,0,0,0,0,0,0,0,0,-100
2021-10-20,99,0,-78,-55,-70,0,-93,0,0,-12,0,99,99,-97,0,0,-67,0,0,0,0,87,-11,0,0,0,-59,0,0
2021-10-21,-88,0,0,80,87,-78,-8,-45,29,98,0,0,-10,81,97,0,-84,0,0,1,0,-75,0,0,-77,0,0,0,-96
2021-10-22,92,47,15,-80,-94,-53,63,-87,66,-70,0,-86,-94,34,-74,0,11,-67,100,-68,0,-11,0,0,-36,0,-54,51,-70
2021-10-25,100,-47,0,100,-100,0,-63,-100,100,100,100,100,100,-100,-23,100,20,0,-100,0,0,0,0,0,0,0,0,100,-100
2021-10-26,99,68,21,37,-37,-98,0,-65,-24,65,-99,-63,46,99,0,-3,-96,-90,98,-18,0,-60,0,99,0,0,18,95,-70
2021-10-27,100,-68,100,0,0,0,0,0,0,0,0,100,100,-100,0,-41,100,78,-98,0,0,0,0,-93,0,0,1,-100,-99
2021-10-28,95,0,-94,-32,0,83,0,-84,96,0,-1,-66,99,0,0,0,-37,-67,99,-94,0,-41,0,-6,0,0,-19,76,-82
2021-10-29,-77,0,-42,70,0,0,81,-77,-77,95,0,-52,89,-74,0,-56,-97,-72,-88,8,0,83,0,99,0,0,0,69,-24
2021-11-01,-67,0,0,98,0,-94,0,-38,1,0,80,0,-86,0,0,0,-76,-25,-11,0,0,-83,0,-99,100,0,0,2,-36
2021-11-02,95,82,0,-99,0,68,-70,-93,-99,-99,-73,18,66,-49,0,2,-99,0,0,-18,0,0,0,0,32,0,0,98,0
2021-11-03,100,-82,0,0,0,100,-11,0,100,8,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-04,99,0,0,0,0,0,0,-98,-78,0,-7,0,1,-27,0,0,-3,0,0,-56,0,0,16,99,0,0,0,0,0
2021-11-05,97,97,0,-56,0,-96,0,-94,-67,55,0,-45,0,2,0,0,-99,0,0,98,98,0,0,99,-62,0,0,-84,0
