account_rewards,date
959.7020345649216,2022-04-04
3598.3014477842953,2022-04-05
5056.433335609501,2022-04-06
10933.020735992584,2022-04-07
-13195.764257240342,2022-04-08
-4982.008907390526,2022-04-11
9076.643541908357,2022-04-12
1994.0659494742285,2022-04-13
-2030.5869467391167,2022-04-14
15612.795437408378,2022-04-18
11964.980218238896,2022-04-19
-10381.90638909163,2022-04-20
-32777.7460341719,2022-04-21
7339.1403023756575,2022-04-22
-24275.026866554166,2022-04-25
1872.982780399383,2022-04-26
17318.34279006184,2022-04-27
-26365.134638732765,2022-04-28
-4125.335588180576,2022-04-29
-2208.3768101996975,2022-05-02
26795.206316642696,2022-05-03
-34569.770311901,2022-05-04
-3992.184500286123,2022-05-05
-16865.66072111507,2022-05-06
-5180.621029590606,2022-05-09
-10176.115932380664,2022-05-10
-1751.279605510761,2022-05-11
14101.407071067835,2022-05-12
-575.4879617500119,2022-05-13
9141.4216753426,2022-05-16
-944.8305292128352,2022-05-17
27.57323176949285,2022-05-18
-151.848862339044,2022-05-19
1932.9310074998066,2022-05-20
166.13134032441303,2022-05-23
2763.110747810453,2022-05-24
7891.9800762557425,2022-05-25
8697.41370764561,2022-05-26
-6176.661510044243,2022-05-27
-5004.800286064041,2022-05-31
5886.850081256824,2022-06-01
-5829.999565143604,2022-06-02
586.8507406729041,2022-06-03
4173.544232811197,2022-06-06
-7620.031976959319,2022-06-07
-10875.943821330904,2022-06-08
-17963.68336733256,2022-06-09
-17940.728125938447,2022-06-10
-7930.201049675001,2022-06-13
4834.35584415053,2022-06-14
-14999.775558326743,2022-06-15
-958.0461404990638,2022-06-16
21545.027798538213,2022-06-17
3787.762442340958,2022-06-21
10059.597904254915,2022-06-22
19130.444118156563,2022-06-23
193.35597630694974,2022-06-24
-15520.618205703795,2022-06-27
7257.590138607076,2022-06-28
-6406.814281627652,2022-06-29
9362.355831523892,2022-06-30
-3389.8678334769793,2022-07-01
