date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-10-04,-77,100,65,-4,-7,0,100,57,-35,100,65,-52,-100,-53,0,-99,-80,0,0,0,64,4,-3,100,11,-27,0,0,0
2022-10-05,100,73,0,0,-74,0,0,-29,0,-17,0,0,1,-97,0,0,0,0,0,0,0,-14,0,-32,0,-19,100,0,0
2022-10-06,-66,-14,100,-15,46,56,-43,-29,74,19,-68,-15,-20,100,0,100,-100,16,-47,62,-64,-3,-100,-34,4,-84,85,0,100
2022-10-07,-65,-100,-100,100,64,-56,32,-23,69,-6,100,-100,0,-92,54,-98,100,-33,-41,33,0,100,-100,73,-83,71,-100,0,100
2022-10-10,72,-100,100,-100,5,0,-46,100,-41,-56,-100,68,4,67,-44,100,100,-100,0,-3,100,100,-24,-80,-49,-90,12,0,100
2022-10-11,63,100,-19,0,1,0,84,-80,-26,-100,-100,-74,-4,-40,100,-48,100,17,0,-29,-100,100,83,0,-40,69,1,0,40
2022-10-12,-100,-100,-58,49,100,0,9,100,-100,-30,49,0,0,2,-100,-82,100,56,0,-1,13,100,-12,-100,-39,100,-4,100,100
2022-10-13,14,100,-23,-49,100,0,61,-100,-3,8,33,0,100,-50,-10,40,43,100,0,-32,65,100,100,0,97,-100,-4,-60,11
2022-10-14,-49,-49,90,0,-100,5,100,-34,0,94,-63,0,68,100,72,-34,35,100,0,-23,0,25,-100,-24,100,-78,89,20,0
2022-10-17,0,-25,-22,0,100,100,-96,0,0,0,-4,0,100,-4,25,0,-12,100,0,-7,100,-41,-36,0,-100,-100,-94,100,100
2022-10-18,0,0,0,0,-100,-100,-100,45,0,-66,-15,100,-100,100,-36,0,-67,0,1,0,0,100,-100,100,88,-47,84,100,0
2022-10-19,0,0,-100,0,-100,-5,-68,-45,0,100,-64,-9,0,0,0,0,0,-95,0,0,-2,0,-100,0,92,100,0,-100,100
2022-10-20,0,0,0,58,100,0,-33,0,0,-45,0,-91,-34,1,100,0,100,0,0,0,0,-40,0,0,0,-46,0,0,-9
2022-10-21,0,0,0,0,0,0,0,0,0,100,-41,0,0,-45,0,-6,0,-2,-1,35,-1,0,0,0,0,-93,1,-70,-24
2022-10-24,0,0,0,100,-31,0,0,0,0,-6,0,100,-69,-92,-13,-66,1,0,0,0,-55,-100,10,100,-10,0,0,0,100
2022-10-25,0,-19,-73,0,0,0,2,0,0,100,0,-80,35,-8,100,-19,-53,100,100,-35,0,0,-43,0,-72,0,100,-87,-100
2022-10-26,0,-100,-49,-100,-36,79,49,0,100,-68,0,-20,83,6,100,0,100,-60,-74,79,-25,-100,100,65,-17,-94,-100,-3,-48
