time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
88,0,1,,50,,,,,,,,,,,,,
93,1,2,,100,-7.0935688495635985,5.798244164907373e-05,-0.3750119209289551,0.9995039105415344,-0.004956141810864167,0.2,0.0,-0.010052675381302834,0.00058098556,10,0.00025,,
96,1,3,,150,-7.092539882659912,1.9230115140089765e-05,0.8584258556365967,0.9997738599777222,-0.0018895897103355709,0.2,0.0,-0.0044691357761621475,0.0005850387,20,0.00025,,
100,1,4,,200,-7.093909740447998,6.147402500573662e-05,0.4391400218009949,0.999921441078186,-0.003514000915339466,0.2,0.0,-0.008354526944458485,0.0006363559,30,0.00025,,
101,2,5,,250,-7.093696212768554,7.255067193909782e-05,0.23296159505844116,0.9995524287223816,-0.005398313349112805,0.2,0.0,-0.01144868228584528,0.0005622637,40,0.00025,,
104,2,6,,300,-7.092219305038452,7.998953733476811e-05,0.15219473838806152,0.9996941685676575,-0.0040456380267860585,0.2,0.0,-0.010119271464645863,0.00083910226,50,0.00025,,
105,3,7,,350,-7.095231771469116,0.00015133898341446184,-8.75378131866455,1.0008326768875122,0.0007110560083532392,0.2,0.0,-0.0018117886502295732,0.00022809506,60,0.00025,,
106,3,8,,400,-7.1005082607269285,7.839986592443893e-05,-0.46252942085266113,1.0013891458511353,-0.0030770471423167576,0.2,0.0,-0.007986015640199184,0.0003354442,70,0.00025,,
107,4,9,,450,-7.101442956924439,6.692493407172151e-05,-0.9505065679550171,1.0013622045516968,-0.00218855077511364,0.2,0.0,-0.007725854869931936,0.000479455,80,0.00025,,
107,4,10,,500,-7.100935411453247,2.746810814642231e-05,0.14847034215927124,1.0011392831802368,-0.005211406661663176,0.2,0.0,-0.010413900017738342,0.0008979225,90,0.00025,,
108,5,11,,550,-7.100501680374146,3.59606705387705e-05,-0.8312122821807861,1.0013777017593384,0.00011279272999686896,0.2,0.0,-0.00042622265755198896,0.0001480043,100,0.00025,,
108,5,12,,600,-7.101756477355957,1.9675398857543768e-05,0.8518144488334656,1.001335620880127,-0.0014581330965519612,0.2,0.0,-0.004157633986324072,9.6211435e-05,110,0.00025,,
109,5,13,,650,-7.102502727508545,3.9777134588803165e-05,-3.9700050354003906,1.002212643623352,-0.00026679105097002773,0.2,0.0,-0.0017794682644307613,5.270481e-05,120,0.00025,,
107,6,14,,700,-7.108089399337769,3.9030068182910324e-05,-0.37575578689575195,1.003144383430481,-0.002304850108106571,0.2,0.0,-0.005439634434878826,0.000116227864,130,0.00025,,
108,6,15,,750,-7.111230659484863,4.212070234643761e-05,-1.4324910640716553,1.0035145282745361,-0.0017281452763597827,0.2,0.0,-0.004875053185969591,0.00023156404,140,0.00025,,
109,7,16,,800,-7.111044025421142,1.0950413980026497e-05,0.8913968056440353,1.0028014183044434,-0.001904591830447311,0.2,0.0,-0.004437806084752083,0.00034903287,150,0.00025,,
110,7,17,,850,-7.106695985794067,5.2951366706111e-05,-2.979877471923828,1.002126693725586,-0.0018829487855548167,0.2,0.0,-0.004479880444705486,0.00034904838,160,0.00025,,
110,8,18,,900,-7.103547382354736,4.56699183814635e-05,0.20782506465911865,1.0012590885162354,-0.0031424363923724385,0.2,0.0,-0.007447851821780205,0.00078671455,170,0.00025,,
110,8,19,,950,-7.09935827255249,5.54325109533238e-05,-1.5962035655975342,1.0007423162460327,-0.0016131658567459795,0.2,0.0,-0.0061567435041069984,0.00031090618,180,0.00025,,
111,8,20,,1000,-7.098188638687134,2.9827423986716894e-05,0.05715399980545044,1.0007026195526123,-0.006123886854155103,0.2,0.0019999999552965165,-0.015102577395737171,0.0027183997,190,0.00025,,
111,9,21,,1050,-7.0977214813232425,2.738653424785298e-05,0.4898177981376648,1.0004112720489502,-0.011056038749404262,0.2,0.02199999988079071,-0.023359162732958794,0.0070210956,200,0.00025,,
111,9,22,,1100,-7.095965814590454,1.5715183053544024e-05,0.7577935457229614,1.000150442123413,0.0004832507874816372,0.2,0.0,-0.0014159077545627952,0.0020465208,210,0.00025,,
112,10,23,,1150,-7.094973134994507,3.1592099367117045e-05,-0.2266460657119751,0.9999171495437622,-0.006957850949373068,0.2,0.0,-0.015621459111571312,0.003607371,220,0.00025,,
112,10,24,,1200,-7.093307590484619,2.4397609104198635e-05,-0.3080798387527466,0.9994262456893921,-0.016223252424038926,0.2,0.06999999880790711,-0.03108404204249382,0.016352497,230,0.00025,,
111,11,25,,1250,-7.090195083618164,1.607062113180291e-05,0.7015248239040375,0.9986866116523743,-0.01953339963965135,0.2,0.09800000078976154,-0.03440390154719353,0.02033947,240,0.00025,,
112,11,26,,1300,-7.086808347702027,7.566082012999687e-06,0.7522602528333664,0.9981909990310669,-0.00518966007977717,0.2,0.031999999284744264,-0.015289566479623318,0.008615592,250,0.00025,,
