account_rewards,date
-40.2126704788534,2022-01-03
-7192.145575840026,2022-01-04
-6341.171132858493,2022-01-05
-474.6864069250878,2022-01-06
-348.95449609379284,2022-01-07
6770.189245193498,2022-01-10
1126.3604565658607,2022-01-11
-11027.487862102455,2022-01-12
-1392.1341488686157,2022-01-13
-14852.03445552825,2022-01-14
-5338.909653182956,2022-01-18
-7096.584627056145,2022-01-19
-11987.16003360739,2022-01-20
-1510.2351474686293,2022-01-21
-2666.366324127186,2022-01-24
1286.2003655127482,2022-01-25
3513.132496299804,2022-01-26
15203.120198345161,2022-01-27
-957.630564247258,2022-01-28
848.8976283989614,2022-01-31
3387.4291753388243,2022-02-01
-8531.657759395544,2022-02-02
-241.2236518173013,2022-02-03
783.4738597566029,2022-02-04
13120.6717080269,2022-02-07
10683.293611412053,2022-02-08
-15316.260735031217,2022-02-09
-17099.457581626833,2022-02-10
-4753.040706405649,2022-02-11
11364.9771808472,2022-02-14
373.0488312911475,2022-02-15
-21792.368325797957,2022-02-16
-6994.347729881294,2022-02-17
-10042.144240020774,2022-02-18
-13150.016565589933,2022-02-22
3041.4271524047945,2022-02-23
28971.154135223478,2022-02-24
-686.6530609360198,2022-02-25
-18012.145583580015,2022-02-28
15484.569673118647,2022-03-01
-2581.477125782054,2022-03-02
1927.3995605240343,2022-03-03
-25873.633537628222,2022-03-04
-13992.10889480589,2022-03-07
22600.9492802429,2022-03-08
2079.736630706815,2022-03-09
-11705.830461620353,2022-03-10
7222.659560009022,2022-03-11
18243.145692222635,2022-03-14
5651.30735292437,2022-03-15
14400.575531581882,2022-03-16
3066.8297433967236,2022-03-17
224.87510239030235,2022-03-18
1043.4573051299667,2022-03-21
-8010.612365753157,2022-03-22
15325.228756977129,2022-03-23
1516.2919619636377,2022-03-24
3915.27786262508,2022-03-25
2432.3930442772107,2022-03-28
8807.820852924371,2022-03-29
-16429.472695663455,2022-03-30
5141.321314475965,2022-03-31
