account_value,date,daily_return
1000000.0,2022-01-03,
999959.7873295211,2022-01-04,-4.021267047882304e-05
992767.6417536811,2022-01-05,-0.0071924348028507
986426.4706208226,2022-01-06,-0.006387366858227828
985951.7842138975,2022-01-07,-0.00048121823680014053
985602.8297178037,2022-01-10,-0.0003539265323933005
992373.0189629972,2022-01-11,0.006869084626240252
993499.3794195631,2022-01-12,0.0011350172113131496
982471.8915574607,2022-01-13,-0.01109964242609296
981079.757408592,2022-01-14,-0.0014169709696851829
966227.7229530638,2022-01-18,-0.01513845774859135
960888.8132998808,2022-01-19,-0.00552551901208731
953792.2286728247,2022-01-20,-0.007385437866307409
941805.0686392173,2022-01-21,-0.012567894425274506
940294.8334917487,2022-01-24,-0.0016035538539315164
937628.4671676215,2022-01-25,-0.0028356705037139163
938914.6675331342,2022-01-26,0.0013717590821427095
942427.800029434,2022-01-27,0.0037416951910338447
957630.9202277792,2022-01-28,0.01613186728773308
956673.2896635319,2022-01-31,-0.0009999996282695767
957522.1872919309,2022-02-01,0.000887343294279308
960909.6164672697,2022-02-02,0.0035377030634864415
952377.9587078742,2022-02-03,-0.008878730749684594
952136.7350560569,2022-02-04,-0.00025328563057525066
952920.2089158135,2022-02-07,0.0008228585568756941
966040.8806238404,2022-02-08,0.013768909070524415
976724.1742352524,2022-02-09,0.011058842152221526
961407.9135002212,2022-02-10,-0.015681254891662166
944308.4559185944,2022-02-11,-0.01778585066912175
939555.4152121887,2022-02-14,-0.005033356078318785
950920.3923930359,2022-02-15,0.012096122268935527
951293.4412243271,2022-02-16,0.0003923029038763737
929501.0728985291,2022-02-17,-0.02290814524880025
922506.7251686478,2022-02-18,-0.0075248409429699015
912464.580928627,2022-02-22,-0.010885713855565582
899314.5643630371,2022-02-23,-0.014411536448030615
902355.9915154419,2022-02-24,0.003381939171149817
931327.1456506654,2022-02-25,0.03210612486383391
930640.4925897294,2022-02-28,-0.000737284491430068
912628.3470061494,2022-03-01,-0.019354568952245854
928112.916679268,2022-03-02,0.01696700494118475
925531.439553486,2022-03-03,-0.002781425707357288
927458.83911401,2022-03-04,0.0020824787556150692
901585.2055763818,2022-03-07,-0.02789733888605228
887593.0966815759,2022-03-08,-0.015519452635495257
910194.0459618188,2022-03-09,0.025463187314931357
912273.7825925256,2022-03-10,0.0022849376349294293
900567.9521309052,2022-03-11,-0.012831488402916036
907790.6116909143,2022-03-14,0.008020116131069122
926033.7573831369,2022-03-15,0.020096204408020624
931685.0647360613,2022-03-16,0.00610270123293799
946085.6402676431,2022-03-17,0.015456484252714064
949152.4700110399,2022-03-18,0.0032415984482432325
949377.3451134302,2022-03-21,0.0002369220009379447
950420.8024185601,2022-03-22,0.0010990964872932274
942410.190052807,2022-03-23,-0.008428490143911338
957735.4188097841,2022-03-24,0.016261739228560668
959251.7107717477,2022-03-25,0.0015832054784483685
963166.9886343728,2022-03-28,0.004081595913417946
965599.38167865,2022-03-29,0.002525411556853596
974407.2025315744,2022-03-30,0.009121609872629
957977.729835911,2022-03-31,-0.016860992666083097
963119.0511503869,2022-04-01,0.005366848470847563
