Wall time,Step,Value
1732591913.1618178,10240,-1.7750000552041456e-05
1732591965.3329833,14336,-2.5800000003073364e-05
1732591992.9910445,16384,-2.9999999242136255e-05
1732592048.1494234,20480,-2.8500000553322025e-05
1732592100.6324918,24576,-3.199999991920777e-05
1732592128.8268766,26624,-3.0299999707494862e-05
1732592183.8908732,30720,-3.341666524647735e-05
1732592211.4531443,32768,-3.138461397611536e-05
1732592236.3517494,34816,-3.138461397611536e-05
1732592263.8932502,36864,-3.2785716030048206e-05
1732592291.5055141,38912,-3.3533331588841975e-05
1732592319.1444159,40960,-3.362500137882307e-05
1732592346.6299992,43008,-3.388235199963674e-05
1732592371.5840666,45056,-3.388235199963674e-05
1732592482.3921714,53248,-3.0857143428875133e-05
1732592510.1835153,55296,-2.9590908525278792e-05
1732592646.2981968,65536,-2.7230769774178043e-05
1732592671.320785,67584,-2.7230769774178043e-05
1732592727.040006,71680,-2.6249999791616574e-05
1732592754.4764178,73728,-2.582758679636754e-05
1732592809.7474196,77824,-2.6129031539312564e-05
1732592890.3652015,83968,-2.6909090593107976e-05
1732592918.422408,86016,-2.594117722765077e-05
1732592971.245782,90112,-2.542857146181632e-05
1732592999.0476925,92160,-2.474999928381294e-05
1732593027.9111216,94208,-2.481080991856288e-05
1732593055.413902,96256,-2.4631579435663298e-05
1732593111.2068903,100352,-2.2649999664281495e-05
1732593163.9940288,104448,-2.2000000171829015e-05
1732593191.5587907,106496,-2.2738095140084624e-05
1732593272.3380609,112640,-2.19090907194186e-05
1732593299.8147538,114688,-2.23333336180076e-05
1732593327.764632,116736,-2.1739129806519486e-05
1732593354.972344,118784,-2.14893625525292e-05
1732593382.435062,120832,-2.1187499442021362e-05
1732593462.1271057,126976,-2.0479999875533395e-05
1732593489.67256,129024,-1.9431372493272647e-05
1732593544.6652288,133120,-1.843396239564754e-05
1732593597.0320485,137216,-1.7703703633742407e-05
1732593625.1305947,139264,-1.707272713247221e-05
1732593652.3371105,141312,-1.5499999790336005e-05
1732593679.6841063,143360,-1.4631578778789844e-05
1732593707.2015913,145408,-1.3655172551807482e-05
1732593759.6532557,149504,-1.2084745321772061e-05
1732593787.2641344,151552,-1.1516666745592374e-05
1732593814.8245587,153600,-1.1360655662429053e-05
1732593842.558164,155648,-1.0677419595594984e-05
1732593895.4533155,159744,-9.968253834813368e-06
1732593951.1276536,163840,-9.015384421218187e-06
1732593978.9503212,165888,-8.318182153743692e-06
1732594116.8524215,176128,-6.428571396099869e-06
1732594144.5523255,178176,-6.3802817749092355e-06
1732594169.540524,180224,-6.3802817749092355e-06
1732594197.263471,182272,-6.305555416474817e-06
1732594225.6422422,184320,-6.246575139812194e-06
1732594254.218258,186368,-6.2297299336933065e-06
1732594391.3094177,196608,-7.128205197659554e-06
1732594613.5552542,212992,-6.152941296022618e-06
1732594666.5525627,217088,-5.639534720103256e-06
