Wall time,Step,Value
1731370827.617733,350,5.99791164859198e-05
1731370863.837617,1000,5.252971823210828e-05
1731370879.4408576,1300,0.000122579192975536
1731370921.5314248,2100,3.601162097766064e-05
1731370926.1928284,2200,7.241829734994099e-05
1731370934.1808207,2350,5.696480366168544e-05
1731370939.444903,2450,0.0001368977827951312
1731370955.5197656,2750,6.310193566605449e-05
1731370963.7418492,2900,0.0006127009401097894
1731371007.4926789,3650,7.089476275723428e-05
1731371015.1231475,3800,0.0002299373591085896
1731371028.4190693,4050,6.194660090841353e-05
1731371069.6185772,4800,7.461268978659064e-05
1731371091.1683805,5200,4.211317718727514e-05
1731371098.9694111,5350,6.062964166630991e-05
1731371101.4592671,5400,4.26135266025085e-05
1731371120.9080002,5750,0.00018046550394501537
1731371155.7505755,6400,6.649996794294566e-05
1731371194.8152177,7050,5.1173810788895935e-05
1731371224.2441452,7600,3.300336538814008e-05
1731371237.905213,7850,9.966548532247543e-06
1731371245.4495854,8000,5.856448842678219e-05
1731371274.3746114,8450,1.2979462553630583e-05
1731371276.819525,8500,2.0679610315710306e-05
1731371307.2941027,9000,8.747894025873393e-05
1731371320.862374,9250,0.00016111238801386207
1731371326.949697,9350,0.00021852079953532666
1731371329.3152337,9400,3.687200660351664e-05
1731371340.512253,9600,1.8435257516102865e-05
1731371365.2828257,10000,2.3700689780525863e-05
1731371387.9260347,10400,2.0642566596507095e-05
1731371390.380651,10450,3.812520662904717e-05
1731371405.0756285,10700,2.8220183594385162e-05
1731371437.1531408,11250,3.1551029678666964e-05
1731371453.9938192,11550,3.0739007343072444e-05
1731371467.6187239,11800,5.484378561959602e-05
1731371475.4825757,11950,2.943680556199979e-05
1731371507.4887373,12550,5.796528057544492e-05
1731371528.521569,12850,7.179100066423416e-05
1731371542.9235945,13100,3.615238892962225e-05
1731371561.624262,13450,6.802562711527571e-05
1731371572.8241258,13650,8.74052057042718e-06
1731371577.744372,13750,2.0753357603098266e-05
1731371629.4728591,14700,7.747805284452625e-06
1731371643.1276507,14950,1.2109423551009968e-05
1731371645.597295,15000,4.544516195892356e-05
1731371659.6056054,15250,1.6886862795217894e-05
1731371673.4160795,15500,3.0291537768789567e-05
1731371678.273916,15600,1.9344066458870657e-05
1731371700.9581478,16000,4.046640970045701e-05
1731371703.3457067,16050,3.6323479434940964e-05
1731371724.641602,16400,2.9292232284205966e-05
1731371735.8730175,16600,3.874553294735961e-05
1731371760.3384924,17050,1.5166197044891305e-05
1731371782.3609595,17450,1.063832314684987e-05
1731371828.4934998,18250,9.110281098401174e-06
1731371838.748694,18450,9.366625818074681e-06
1731371867.0154996,18950,3.5085537092527375e-05
1731371873.1720908,19050,3.086966535192914e-05
1731371994.5743973,21150,1.6999489162117243e-05
1731371997.3246136,21200,5.652716481563402e-06
1731372004.1502995,21300,1.5945439372444525e-05
1731372020.6327238,21600,2.51679630309809e-05
1731372045.3522375,22050,9.944767043634783e-06
1731372050.3811815,22150,2.815707011905033e-05
1731372052.83265,22200,4.694712333730422e-05
1731372061.8331747,22350,3.1218052754411474e-05
1731372081.4559562,22650,1.1830421499325894e-05
1731372106.8873382,23100,2.2400210582418367e-05
1731372114.5078907,23250,8.851242455421016e-06
1731372118.1578772,23300,1.3939179552835412e-05
1731372145.567747,23800,1.742356107570231e-05
1731372191.4992614,24650,2.134556052624248e-05
1731372196.387104,24750,1.7145968740805984e-05
1731372234.6062021,25450,2.7054549718741328e-05
1731372251.4987435,25700,1.4766648746444844e-05
1731372256.6054065,25800,2.5600969820516184e-05
1731372265.288451,25950,1.6399057130911388e-05
1731372287.2897751,26350,2.2733433070243336e-05
1731372303.7181468,26650,2.045704059128184e-05
1731372308.5070806,26750,8.742581485421397e-06
1731372317.0762002,26900,1.3743232557317242e-05
1731372333.1723459,27200,7.4017743827425875e-06
1731372346.7008073,27450,1.164208060799865e-05
1731372373.7643383,27950,1.8957969587063417e-05
1731372389.8567812,28250,1.8717606508289464e-05
1731372405.9174364,28550,4.816102591576055e-05
1731372417.11847,28750,1.014716053759912e-05
1731372436.5288382,29050,2.475501059961971e-05
1731372441.727542,29150,2.3430064175045118e-05
1731372445.218624,29200,1.652630635362584e-05
1731372450.3955956,29300,2.9681528758374043e-05
1731372455.345235,29400,2.9134907890693285e-05
1731372458.5916636,29450,1.6254629372269846e-05
1731372472.6256404,29700,7.494926649087574e-06
1731372475.5910997,29750,5.818845238536596e-06
1731372499.815332,30200,1.2499858712544665e-05
1731372519.2951076,30500,1.0544498763920274e-05
1731372528.3705661,30600,3.6038883990840986e-05
1731372542.4263492,30850,2.0612022126442753e-05
1731372556.3621395,31100,2.5958359401556663e-05
1731372562.5440228,31200,7.3667397373355925e-06
1731372596.1877854,31800,1.0835062312253285e-05
1731372619.703868,32150,9.059697185875848e-05
1731372622.5217845,32200,2.710386434046086e-05
1731372627.4243371,32300,9.829517694015522e-06
1731372633.1362374,32400,1.2276555935386568e-05
1731372636.3920484,32450,1.850617627496831e-05
1731372641.4286208,32550,2.076971395581495e-05
1731372673.5055487,33150,6.75665978633333e-06
1731372682.3333743,33300,8.134229574352503e-06
1731372693.7097697,33500,3.7048559988761554e-06
1731372701.1835015,33650,5.142879672348499e-06
1731372710.2163742,33800,1.1974332664976828e-05
1731372721.5372713,34000,1.1411646482883953e-05
1731372724.6363237,34050,6.5034896579163615e-06
1731372735.6457794,34250,7.195319085440133e-06
1731372750.6014795,34500,6.926688456587726e-06
1731372780.1866643,35050,1.2912098100059666e-05
1731372790.0771806,35250,1.0507618753763381e-05
1731372802.23935,35400,3.9164297049865127e-05
1731372824.9802856,35800,1.4247569197323173e-05
1731372835.0597174,36000,6.25281609245576e-06
1731372843.15799,36150,6.814615517214406e-06
1731372845.5984294,36200,7.352325610554544e-06
1731372848.2546625,36250,4.137882569921203e-06
1731372868.163421,36600,1.1475123756099492e-05
1731372884.2761135,36900,6.658942766080145e-06
1731372889.1720636,37000,1.1503128007461783e-05
1731372891.9594905,37050,1.1315924894006457e-05
1731372903.1018486,37250,3.7982299545546994e-06
1731372914.385814,37450,5.007772415410727e-06
1731372925.9345393,37650,1.7833608580986038e-05
1731372928.4270248,37700,7.12416067472077e-06
1731372939.6268706,37900,1.5451325452886522e-05
1731372964.2813747,38350,1.055628035828704e-05
1731372978.7566316,38550,1.2258254173502792e-05
1731372981.7699516,38600,3.5861394280800596e-05
1731372984.2038598,38650,2.247303018521052e-05
1731372989.265281,38750,1.4621497030020691e-05
1731372992.3105116,38800,1.3716913599637337e-05
1731373009.127722,39100,9.283118743041996e-06
1731373019.0286243,39300,5.749205229221843e-06
1731373022.7273111,39350,3.7428044379339553e-06
1731373027.8129203,39450,8.929601790441666e-06
1731373032.7779796,39550,6.920976829860592e-06
1731373041.3914635,39700,9.8010359579348e-06
1731373043.8871603,39750,8.805987818050198e-06
1731373046.5353508,39800,6.4653991103114095e-06
1731373050.2506473,39850,7.679250302317087e-06
1731373058.4323778,40000,4.339653969509527e-06
1731373070.374248,40200,9.75516377366148e-06
1731373084.5611339,40450,6.915475296409568e-06
1731373087.411269,40500,4.8089514166349545e-06
1731373091.6551154,40550,1.0027168173110113e-05
1731373109.2922494,40850,1.2844068805861752e-05
1731373155.335189,41700,7.964929864101578e-06
1731373170.3721426,41900,1.0286167707818095e-05
1731373175.2913747,42000,1.0118073078047018e-05
1731373188.6871605,42250,1.3311097063706256e-05
1731373255.8642983,43450,1.4615357940783724e-05
1731373260.9454136,43550,5.653853804687969e-06
1731373274.7264597,43800,5.43087253390695e-06
1731373280.337693,43900,7.892351277405396e-06
1731373291.0457735,44100,9.632022738514934e-06
1731373297.210886,44200,4.172858098172583e-06
1731373318.469514,44600,2.619908264023252e-05
1731373334.9622872,44900,2.5728263608471025e-06
1731373349.6586666,45100,1.1020298188668676e-05
1731373369.8266568,45450,1.6324631360475905e-05
1731373374.831997,45550,5.293024514685385e-06
1731373391.2510984,45850,4.059599177708151e-06
