Wall time,Step,Value
1731276644.2670891,2200,7.389612164843129e-06
1731276645.3136973,2350,7.486130925826728e-05
1731276656.395229,3650,1.0292741308148834e-06
1731276664.8851185,4800,3.0014384719834197e-06
1731276693.2962244,8000,1.8770002725432278e-06
1731276696.628509,8450,7.474805897800252e-06
1731276721.8392122,11550,1.0983318134094588e-05
1731276723.7176204,11800,2.735449561441783e-05
1731276733.4384956,12850,1.0942799235635903e-06
1731276740.4628444,13750,8.392223662667675e-07
1731276755.9234009,15500,4.995149538444821e-07
1731276756.6694186,15600,4.0806733636600256e-07
1731276759.7257235,16000,1.3097640021442203e-06
1731276802.5069807,21150,4.758442173624644e-07
1731276817.8900065,23100,2.5475990241830004e-06
1731276825.9300404,23800,1.8936863170893048e-06
1731276852.2421274,26900,2.712018840611563e-06
1731276862.7924907,28250,1.1432664905441925e-05
1731276869.1546767,29050,2.112710944857099e-06
1731276871.9770043,29400,1.0832575753738638e-05
1731276892.7022676,31800,1.0109937420565984e-06
1731276897.7057877,32450,1.4198693861544598e-05
1731276905.2165072,33150,2.8498351412054035e-07
1731276909.2730782,33650,1.2833951359425555e-06
1731276928.4450936,35800,6.8479886294881e-07
1731276931.7134142,36200,5.098929705127375e-07
1731276953.2553003,38650,1.2448484767446644e-06
1731276958.9723415,39350,4.559095714284922e-07
1731276959.7531514,39450,4.7086214749469946e-07
1731276965.916939,40200,1.848525812420121e-06
1731276968.4122171,40500,8.533330628779368e-07
1731276981.4389408,41900,4.5035295670459163e-07
1731277026.632399,47350,5.9626472648233175e-06
1731277039.0412772,48650,1.3204585229686927e-06
1731277039.4509077,48700,1.0413496056571603e-06
1731277041.8425674,49000,1.1433046438469319e-06
1731277054.765603,50350,4.911089490633458e-06
1731277058.4874015,50800,2.2264786991854635e-07
1731277078.4810393,53250,4.852214260608889e-06
1731277081.9393313,53400,7.345381618506508e-07
1731277092.8404834,54750,1.6554215562791796e-06
1731277097.1473522,55300,6.561236887137056e-07
1731277121.673486,58150,3.677214124309103e-07
1731277129.5338109,59100,5.137641437613638e-06
1731277165.609452,63150,3.8425000070674287e-07
1731277189.4464371,65900,1.5862988789194787e-07
1731277190.6430006,66050,1.4259831004892476e-07
1731277196.2611296,66750,5.421443916020507e-07
1731277197.8831735,66950,1.5056452866701875e-06
1731277218.9884858,69350,5.545121553041099e-07
1731277221.763109,69700,4.6100129225123965e-07
1731277230.5218716,70800,2.169065510315704e-06
1731277236.8341806,71400,4.0791832134345896e-07
1731277240.877847,71900,4.4222048245501355e-07
1731277252.8104327,73400,1.1642592880889424e-06
1731277257.1930974,73950,1.0418020792712923e-05
1731277264.7580223,74650,4.1765136415961024e-07
1731277277.4408884,76250,1.5390496628242545e-06
1731277290.9006097,77700,2.5565242367520113e-07
1731277297.4326088,78500,9.115644274970691e-07
1731277304.2109833,79300,1.1318103361190879e-06
1731277305.960858,79500,1.3581910707216593e-06
1731277315.4769104,80350,2.5706938799885393e-07
1731277329.2470403,82100,5.637409685732564e-07
1731277350.7686894,84650,8.883168902684702e-07
1731277357.5809057,85550,3.541348405633471e-06
1731277362.7209942,86000,7.585356343042804e-07
1731277368.1357627,86700,4.218928211230377e-07
1731277368.923415,86800,2.624224180181045e-07
1731277370.0783823,86950,1.295456854677468e-06
1731277389.5830886,89150,6.510421144412248e-07
1731277406.7286801,91400,1.02193280326901e-05
1731277415.6118686,92300,1.5520544138780679e-07
1731277419.202767,92750,2.8531516704788373e-07
1731277424.387436,93400,4.6559517841160414e-07
1731277425.5449696,93550,9.212841973749164e-07
1731277428.5975542,93950,5.801222755508206e-07
1731277445.8389332,95950,3.904501966189855e-07
1731277452.4977884,96800,3.155298600177048e-07
1731277457.608969,97450,9.150390951617737e-07
1731277481.0470712,100150,9.154279041467817e-07
1731277496.9098182,101900,2.8307005095484783e-07
1731277515.427559,103950,2.56155601618957e-07
1731277523.213398,104900,8.078904443209467e-07
1731277561.8926938,109450,3.6299668408901198e-06
1731277569.2015548,110050,1.291018634219654e-07
1731277573.9051847,110650,6.934188832019572e-07
1731277581.798205,111650,2.698259322642116e-07
1731277583.7680671,111900,9.435682386538247e-07
1731277584.1430101,111950,8.304557468363782e-07
1731277594.0841994,112950,1.5705641942531656e-07
1731277596.091172,113200,2.2364977780853224e-07
1731277615.7769797,115450,4.1844341467367485e-06
1731277620.5636165,116050,1.242568998804927e-07
1731277635.0312645,117800,6.420775662263623e-07
1731277651.2560937,119550,7.489095992241346e-07
1731277651.679103,119600,3.9136224927460717e-07
1731277652.535497,119700,6.622322530347446e-07
1731277672.4829397,121900,1.71912233781768e-07
1731277679.2372723,122750,2.2474810634776077e-07
1731277680.0177186,122850,8.969176406026236e-07
1731277682.1329014,123100,4.945816272083903e-07
1731277694.2395036,124350,2.5972617549996357e-06
1731277694.693686,124400,3.2517498311790405e-06
1731277698.8480942,124900,1.1447841075096221e-07
1731277699.6474175,125000,2.8817055408580927e-07
1731277701.6761653,125250,9.482452867359825e-08
1731277713.4183269,126700,0.00012569199316203594
1731277721.1135025,127450,3.5226059935666854e-07
1731277723.5603545,127750,1.8278558400197653e-07
1731277780.4369562,134350,7.767267788949539e-07
1731277804.6270354,137100,1.2854255260208447e-07
1731277810.58848,137800,3.304277242932585e-07
1731277826.147995,139550,1.988777000860864e-07
1731277871.0350704,144900,4.2633791963453405e-06
1731277903.0732715,148450,4.353695715053618e-07
1731277920.5831914,150650,1.7230356661457336e-06
1731277933.3015733,152000,1.8778810328967666e-07
1731277934.49227,152150,3.5117164998155204e-07
1731277959.5068297,155050,5.017983539801207e-07
1731277986.0311346,158150,2.5488458277322934e-07
1731278001.8624668,159900,1.4503695638268255e-05
1731278015.7939556,161600,5.846019917044032e-07
1731278021.4882994,162300,4.755008546908357e-07
1731278022.2656336,162400,8.359784828826378e-07
1731278022.6608624,162450,5.257899715616077e-07
1731278047.4319081,165350,0.00010328445205232129
1731278078.4033992,168900,1.870886308097397e-07
1731278090.7267013,170500,6.183608434184862e-07
