Wall time,Step,Value
1732006164.790425,14336,-0.00013874999422114342
1732006183.743645,16384,-0.0001416000013705343
1732006254.8108125,24576,-0.00016342857270501554
1732006274.0801232,26624,-0.0001703750021988526
1732006327.0424497,32768,-0.00017070000467356294
1732006350.7002897,34816,-0.00017070000467356294
1732006404.708915,40960,-0.00017050000315066427
1732006423.4787426,43008,-0.00016884614888112992
1732006444.7038302,45056,-0.00016992857854347676
1732006521.4050174,53248,-0.0001660624984651804
1732006686.878055,71680,-0.00017040909733623266
1732006742.6301293,77824,-0.0001702083391137421
1732006815.8920698,86016,-0.00016742307343520224
1732006854.7909908,90112,-0.00016085714742075652
1732006891.3203056,94208,-0.00015782758418936282
1732006908.18282,96256,-0.00015782758418936282
1732006945.8875377,100352,-0.00015938709839247167
1732006981.996411,104448,-0.00015696874470449984
1732007001.719945,106496,-0.00015666666149627417
1732007058.5809839,112640,-0.00015382857236545533
1732007076.2447915,114688,-0.00015382857236545533
1732007095.994436,116736,-0.00015266666014213115
1732007113.3280807,118784,-0.00015266666014213115
1732007132.6990867,120832,-0.00015210811397992074
1732007207.52037,129024,-0.00014997500693425536
1732007244.3716736,133120,-0.00015026828623376787
1732007281.066751,137216,-0.00014942856796551496
1732007300.6172545,139264,-0.00014927907614037395
1732007318.080181,141312,-0.00014927907614037395
1732007337.3351905,143360,-0.00015054545656312257
1732007395.3037872,149504,-0.0001514130417490378
1732007415.2213082,151552,-0.00015119148883968592
1732007433.6010258,153600,-0.00015119148883968592
1732007454.3326674,155648,-0.00015152082778513432
1732007551.3254173,165888,-0.00014978431863710284
1732007650.212437,176128,-0.0001499444479122758
1732007708.7705028,182272,-0.0001503928506281227
1732007728.7916143,184320,-0.00015063157479744405
1732007846.7643297,196608,-0.00015070491645019501
1732008000.3740675,212992,-0.0001487727276980877
1732008060.420893,219136,-0.00014827941777184606
1732008078.778459,221184,-0.00014827941777184606
1732008218.7427309,235520,-0.00014843835378997028
1732008276.315754,241664,-0.00014897334040142596
1732008314.8832936,245760,-0.00014842105156276375
1732008430.6787837,258048,-0.00014668749645352364
1732008448.4039865,260096,-0.00014668749645352364
1732008468.5803902,262144,-0.00014687654038425535
1732008527.6115003,268288,-0.00014699999883305281
1732008547.2853794,270336,-0.000145904763485305
1732008682.0945365,284672,-0.00014427272253669798
1732008720.0101962,288768,-0.00014434831973630935
1732008760.9008307,292864,-0.00014334065781440586
1732008779.1076255,294912,-0.00014334065781440586
1732008800.0087464,296960,-0.0001422391360392794
1732008933.7953022,311296,-0.00014124999870546162
1732009032.0314178,321536,-0.00013903999933972955
1732009069.8173487,325632,-0.00013861000479664654
1732009090.300024,327680,-0.0001386600051773712
1732009107.8406436,329728,-0.0001386600051773712
1732009164.951425,335872,-0.0001387999946018681
1732009224.6014075,342016,-0.00013795999984722584
1732009264.4662216,346112,-0.00013713999942410737
1732009285.7496984,348160,-0.00013612999464385211
1732009345.5364432,354304,-0.00013470000703819096
1732009441.0517523,364544,-0.00013294999371282756
1732009461.183748,366592,-0.0001321500021731481
1732009479.0100973,368640,-0.0001321500021731481
1732009517.9627125,372736,-0.00013149000005796552
1732009572.543547,378880,-0.00013051000132691115
1732009611.9450583,382976,-0.00012926000636070967
1732009629.6780796,385024,-0.00012926000636070967
1732009669.8622606,389120,-0.00012832999345846474
1732009706.8558989,393216,-0.0001276099937967956
1732009726.8266866,395264,-0.00012676000187639147
1732009860.6492808,409600,-0.0001276499970117584
1732010014.0159965,425984,-0.00012846999743487686
1732010033.3445923,428032,-0.00012839000555686653
1732010050.8768396,430080,-0.00012839000555686653
1732010128.7168,438272,-0.00012757000513374805
1732010246.516276,450560,-0.0001270299981115386
1732010325.009376,458752,-0.0001260999997612089
1732010345.2132342,460800,-0.00012580999464262277
1732010383.5680149,464896,-0.00012459000572562218
1732010424.4157028,468992,-0.00012276000052224845
1732010464.542109,473088,-0.00012277999485377222
1732010523.3531187,479232,-0.00012181999773019925
1732010540.7759962,481280,-0.00012181999773019925
1732010560.0223505,483328,-0.0001220800040755421
1732010616.370384,489472,-0.00012022999726468697
1732010805.5469484,509952,-0.00011716999870259315
1732010846.193959,514048,-0.00011475000064820051
1732010966.000656,526336,-0.0001124400005210191
1732011026.5070515,532480,-0.00011233999975956976
1732011047.6464844,534528,-0.00011161000293213874
1732011069.1007776,536576,-0.00011116999667137861
1732011089.6011994,538624,-0.00011116999667137861
1732011130.4755058,542720,-0.00011123999865958467
1732011212.0391345,550912,-0.0001085499970940873
1732011251.1698582,555008,-0.00010869000107049942
1732011292.2492068,559104,-0.00010831999679794535
1732011331.5533283,563200,-0.00010720000136643648
1732011434.2877526,573440,-0.0001071700025931932
1732011473.3825111,577536,-0.00010646999726304784
1732011556.0540092,585728,-0.0001048299964168109
1732011697.0128498,600064,-0.00010464999650139362
1732011717.6169696,602112,-0.00010486000246601179
1732011816.437782,612352,-0.0001045500030159019
1732011836.896052,614400,-0.00010460000339662656
1732011855.000772,616448,-0.00010460000339662656
1732011895.9294603,620544,-0.00010401000326965004
1732011914.852605,622592,-0.00010401000326965004
1732011935.725204,624640,-0.0001037600013660267
1732012018.0243158,632832,-0.00010317000123905018
1732012036.714099,634880,-0.00010317000123905018
1732012076.7556312,638976,-0.00010273999942000955
1732012140.4437993,645120,-0.00010312000085832551
1732012222.7631962,653312,-0.00010158999793929979
1732012243.559156,655360,-0.00010078999912366271
1732012262.3504922,657408,-0.00010078999912366271
1732012283.1582956,659456,-0.00010017000022344291
1732012322.7906394,663552,-9.960999886970967e-05
1732012383.1482456,669696,-9.811999916564673e-05
1732012403.5978787,671744,-9.747999865794554e-05
