Wall time,Step,Value
1732006164.7912626,14336,1.9869637981173582e-05
1732006183.7446387,16384,2.145569487765897e-05
1732006254.8118348,24576,1.5828227333258837e-05
1732006274.0807254,26624,3.2858790746104205e-06
1732006327.0432935,32768,5.179357231099857e-06
1732006350.7011907,34816,1.1992508007097058e-05
1732006404.7096407,40960,9.206472896039486e-06
1732006423.47955,43008,2.355115157115506e-06
1732006444.7055235,45056,5.417040938482387e-06
1732006521.4057314,53248,4.740022632176988e-06
1732006686.878615,71680,7.792260703354259e-07
1732006742.6309133,77824,7.850487691030139e-07
1732006815.892821,86016,8.84958262759028e-06
1732006854.7919867,90112,1.4557294889527839e-06
1732006891.320899,94208,8.847828780744749e-07
1732006908.1842318,96256,2.7316928026266396e-06
1732006945.8883636,100352,6.247789769986412e-07
1732006981.9973161,104448,1.7009931525535649e-06
1732007001.7212706,106496,1.05785488813126e-06
1732007058.5824025,112640,1.0036768571808352e-06
1732007076.2455847,114688,3.0405112738662865e-06
1732007095.9963992,116736,5.585077929026738e-07
1732007113.3299809,118784,1.6589899587415857e-06
1732007132.7003074,120832,5.017334842705168e-06
1732007207.521372,129024,5.944816052760871e-07
1732007244.3726363,133120,5.241612939244078e-07
1732007281.0680323,137216,2.2149592950881924e-06
1732007300.6182542,139264,1.4892598301230464e-06
1732007318.0810683,141312,1.4040277847016114e-06
1732007337.3364453,143360,6.3643165049143136e-06
1732007395.3043838,149504,7.204309895314509e-07
1732007415.2222981,151552,5.43944452147116e-07
1732007433.6019647,153600,3.550951078068465e-06
1732007454.334298,155648,4.451480606348923e-07
1732007551.3262174,165888,4.456441729416838e-06
1732007650.2142634,176128,1.5905849295450025e-06
1732007708.7713215,182272,2.2170801457832567e-05
1732007728.7933602,184320,2.1299500474469824e-07
1732007846.7655745,196608,2.8464941692618595e-07
1732008000.3749819,212992,2.8428746645658975e-07
1732008060.4220853,219136,3.0827186492388137e-07
1732008078.7792315,221184,4.498857890666841e-07
1732008218.743327,235520,1.8393336631561397e-07
1732008276.3166428,241664,2.1834131302966853e-07
1732008314.8841178,245760,2.845256972250354e-07
1732008430.6806655,258048,1.9650168781026878e-07
1732008448.4048223,260096,1.9226442873332417e-06
1732008468.5853562,262144,8.751131304052251e-07
1732008527.612414,268288,4.475979835660837e-07
1732008547.2860358,270336,2.3131158854994283e-07
1732008682.095587,284672,1.800471522983571e-06
1732008720.0113373,288768,9.793544677449972e-07
1732008760.9014552,292864,1.0425071650388418e-06
1732008779.1083062,294912,5.436826313598431e-07
1732008800.010235,296960,6.140693358247518e-07
1732008933.797719,311296,6.301775101746898e-07
1732009032.0320897,321536,1.5780912008267478e-06
1732009069.8181703,325632,1.0315783072201157e-07
1732009090.30096,327680,2.462770680722315e-07
1732009107.8413322,329728,2.7481436859488895e-07
1732009164.9530149,335872,4.551008032649406e-07
1732009224.6019952,342016,5.916445502407441e-07
1732009264.4670749,346112,8.600958381066448e-07
1732009285.75139,348160,2.217371530832679e-07
1732009345.5371149,354304,3.666735324259207e-07
1732009441.0526907,364544,5.943466476310277e-06
1732009461.184638,366592,2.465298507559055e-07
1732009479.0110564,368640,4.504476009969949e-07
1732009517.9634666,372736,1.0323100241294014e-06
1732009572.544659,378880,6.097919822423137e-07
1732009611.9459727,382976,1.7834859988852259e-07
1732009629.678788,385024,3.9709078691885225e-07
1732009669.8629842,389120,5.93191543885041e-07
1732009706.8570445,393216,5.920663852521102e-07
1732009726.8273087,395264,5.104346314510622e-07
1732009860.6500685,409600,2.3416919248120394e-07
1732010014.0168192,425984,9.734617378853727e-07
1732010033.3453975,428032,2.0161111535799137e-07
1732010050.8776574,430080,1.0411336006654892e-06
1732010128.7178907,438272,1.649037386641794e-07
1732010246.518468,450560,1.7065198676391446e-07
1732010325.0104227,458752,2.5598410502425395e-06
1732010345.2138343,460800,1.2827385376112943e-07
1732010383.5694137,464896,4.983804956282256e-06
1732010424.4162936,468992,4.093776908575819e-07
1732010464.543312,473088,1.0143364903569818e-07
1732010523.3550084,479232,1.390900479236734e-07
1732010540.776934,481280,6.860917096673802e-07
1732010560.024006,483328,2.888137089485099e-07
1732010616.372231,489472,6.718975953390327e-08
1732010805.5479157,509952,1.4326669770525768e-06
1732010846.1950097,514048,3.4863899145420874e-07
1732010966.002058,526336,1.8052124062251096e-07
1732011026.5079527,532480,5.539243375096703e-07
1732011047.6485224,534528,1.551554476009187e-07
1732011069.101638,536576,3.815609659341135e-07
1732011089.6019888,538624,6.539611604239326e-06
1732011130.4764955,542720,2.136018366627468e-07
1732011212.0402873,550912,2.8067602215742227e-06
1732011251.1709032,555008,2.3996170739337686e-07
1732011292.2499416,559104,1.4798771417190437e-06
1732011331.5543337,563200,1.1751707518214971e-07
1732011434.2887957,573440,2.6575952460916596e-07
1732011473.3843396,577536,4.4705564050673274e-07
1732011556.0553334,585728,4.6345093096533674e-07
1732011697.013523,600064,2.2013281864019518e-07
1732011717.6179488,602112,1.0522031601567505e-07
1732011816.4384954,612352,1.1999238267890178e-05
1732011836.8970912,614400,5.703888561470194e-08
1732011855.0023372,616448,6.17642967881693e-07
1732011895.9302156,620544,9.344601181737744e-08
1732011914.8533988,622592,1.5970309164003993e-07
1732011935.7260466,624640,2.1698193108932173e-07
1732012018.0550954,632832,1.5439805167716258e-07
1732012036.7156966,634880,2.1598307284875773e-05
1732012076.7568007,638976,1.1047126946550634e-07
1732012140.4452875,645120,1.1504069874490597e-07
1732012222.7644932,653312,2.1123129556599451e-07
1732012243.5606513,655360,4.098976944533206e-07
1732012262.352088,657408,3.5742266391025623e-07
1732012283.1599948,659456,5.010817005768331e-08
1732012322.7914152,663552,3.734750464445824e-07
1732012383.1510477,669696,1.8360090336955182e-07
1732012403.598661,671744,1.5994304192190612e-07
1732012422.3018885,673792,2.396240006419248e-06
1732012481.6506093,679936,3.124716386082582e-06
1732012501.768971,681984,7.847361160884248e-08
1732012540.113809,686080,4.178393282927573e-06
1732012657.2880826,698368,1.0696728480752427e-07
1732012695.3526492,702464,7.257047514031001e-07
1732012753.370065,708608,3.0421774681599345e-06
1732012773.3383284,710656,6.530307672392155e-08
1732012811.0065024,714752,1.8333173557039117e-07
1732012830.8534265,716800,2.0522315935522784e-07
1732012924.4352338,727040,6.9307070305058e-08
1732012941.92926,729088,3.3174939062519115e-07
1732013017.3981462,737280,1.6121889245823695e-07
1732013053.912315,741376,3.9240808291651774e-07
1732013110.1007736,747520,6.487435371127503e-07
1732013187.4454083,755712,1.0528601990245079e-07
1732013260.4934125,763904,1.8581239658033155e-07
1732013298.84619,768000,9.339205320202382e-08
1732013371.9040906,776192,1.0950482476346224e-07
1732013390.7734866,778240,3.3676361255174925e-08
1732013409.1216395,780288,1.0127150318339773e-07
1732013448.4491835,784384,8.093981307411013e-08
1732013465.9279728,786432,4.442832732820534e-07
1732013542.5914762,794624,1.4628822953000054e-07
1732013562.0195544,796672,1.2301690333060833e-07
1732013579.8788154,798720,3.785767148656305e-06
1732013638.9915216,804864,1.6235728139690764e-07
1732013659.391759,806912,9.64613207088405e-08
1732013678.0512981,808960,6.117958832874137e-07
1732013867.6454127,829440,1.0263995875448018e-07
1732013962.825955,839680,6.821949938284888e-08
1732014095.5297647,854016,1.1790054799121208e-07
1732014115.496083,856064,6.991899681452196e-08
1732014213.9114535,866304,2.1438461317302426e-07
1732014235.4835994,868352,1.4416018245810847e-07
1732014277.325607,872448,2.0061067971255397e-06
1732014316.7951415,876544,2.3205807053727767e-07
1732014398.6294153,884736,4.385733731737673e-08
1732014580.6528518,903168,5.155582627480726e-08
1732014599.3960874,905216,8.526485117954508e-08
1732014621.178863,907264,6.979258415640288e-08
1732014641.982043,909312,1.1081532136358874e-07
1732014704.3326263,915456,9.789906130208692e-08
1732014820.83385,927744,2.187943834996986e-07
1732014955.3423827,942080,6.695282905866407e-08
1732014972.9283013,944128,2.1374661685058527e-07
1732014992.9378421,946176,1.2225352747918805e-06
1732015012.917704,948224,1.2148935013556184e-07
1732015051.050773,952320,1.27132707916644e-07
1732015071.1750858,954368,9.744777571540908e-07
1732015130.061199,960512,1.1026883584008829e-07
1732015149.011797,962560,1.777789179868705e-06
1732015247.394016,972800,1.5662016039641458e-07
1732015267.657902,974848,2.7423851634011953e-07
1732015346.217064,983040,1.3317300329163118e-07
1732015484.6113791,997376,3.3970462709476124e-07
1732015544.8989463,1003520,3.672937154419742e-08
1732015565.5319982,1005568,8.121782713033099e-08
