time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range
1,16,1499.0,2048,-3.6e-05,123,,,,,,,,,,,
2,34,1499.0,4096,-2.9e-05,119,0.00025,-0.031374115496873856,0.0001819605110995326,78.21438560539536,0.9983557462692261,10,0.6889346241950989,-9.985361051559448,11.056259,0.95439453125,0.2
3,53,1499.0,6144,-1.0500000000000001e-05,114,0.00025,0.08567313849925995,0.00015607291215644637,0.19807255949126557,0.9708347320556641,20,0.7907938808202744,-9.827484613656997,43.21846,0.9666015625,0.2
4,71,1499.0,8192,-1.16e-05,114,0.00025,-0.04127277433872223,6.686092084180472e-05,0.09025437631280511,0.9516410231590271,30,0.8169698566198349,-9.638611742854119,122.52314,0.97353515625,0.2
5,89,1499.0,10240,-3.5000000000000004e-06,114,0.00025,0.025081895291805267,3.237253375090177e-05,0.30952409528254066,0.958337128162384,40,0.8977458998560905,-9.61526462137699,19.926056,0.966162109375,0.2
6,108,1499.0,12288,-6e-06,113,0.00025,0.19804131984710693,3.664971788879257e-05,0.29349853668827564,0.9524980783462524,50,0.9151338934898376,-9.616640582680702,19.134579,0.97900390625,0.2
7,126,1499.0,14336,-4.555555555555555e-06,113,0.00025,0.16865558922290802,0.0005971945277622126,0.6072341182036325,0.956812858581543,60,0.9432395547628403,-9.619463089108468,11.249863,0.971142578125,0.2
8,144,1499.0,16384,-4.1e-06,113,0.00025,0.2397128790616989,9.225503596610451e-06,0.6116318598680663,0.9587000608444214,70,0.9447934739291668,-9.632044327259063,20.86646,0.969775390625,0.2
9,163,1499.0,18432,-4.25e-06,112,0.00025,0.1586601585149765,1.0514506842440596e-05,0.5371182573144324,0.959060549736023,80,0.9418742470443249,-9.652911770343781,10.675395,0.974609375,0.2
10,181,1499.0,20480,-4.769230769230769e-06,112,0.00025,0.08612792193889618,4.871362847325145e-06,0.688384569104528,0.9474665522575378,90,0.9549283236265182,-9.589938843250275,16.095236,0.97099609375,0.2
11,200,1499.0,22528,-4.666666666666667e-06,112,0.00025,1.225798487663269,5.2273205728425864e-06,2.951377759827301,0.9417697787284851,100,0.9463188052177429,-9.526797825098038,37.12577,0.979541015625,0.2
12,218,1499.0,24576,-5.062499999999999e-06,112,0.00025,0.20401422679424286,4.015724363881645e-06,0.40875557105173355,0.9422451853752136,110,0.9444593973457813,-9.51896989941597,16.063242,0.980029296875,0.2
13,236,1499.0,26624,-3.294117647058823e-06,112,0.00025,0.16977041959762573,3.405357502295203e-06,0.6279175113770179,0.9329515695571899,120,0.93160330504179,-9.468112963438035,24.402203,0.97734375,0.2
14,256,1499.0,28672,-1.4736842105263152e-06,111,0.00025,0.10499190539121628,2.8787786041206687e-05,0.3902197982679354,0.9308951497077942,130,0.9238889589905739,-9.436670476198197,24.307283,0.981591796875,0.2
15,276,1499.0,30720,7.000000000000004e-07,111,0.00025,0.12450816482305527,3.509763654463427e-06,0.19145896838017507,0.9333027005195618,140,0.9227456748485565,-9.441221696138381,14.969381,0.98193359375,0.2
16,296,1499.0,32768,1.4761904761904767e-06,110,0.00025,0.24510274827480316,5.528902572748962e-06,3.057085961429402,0.9332659840583801,150,0.906365655362606,-9.443561297655105,23.956854,0.987451171875,0.2
17,316,1499.0,34816,3.1304347826086964e-06,110,0.00025,0.37232863903045654,1.6035112893852955e-05,0.6124713263852755,0.9406098127365112,160,0.8348926454782486,-9.46846957206726,9702.579,0.990283203125,0.2
18,335,1499.0,36864,3.833333333333334e-06,110,0.00025,0.05799952149391174,6.344357087328945e-06,0.539466483425349,0.9348191022872925,170,0.7304480075836182,-9.475505065917968,80.35831,0.993017578125,0.2
