time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance
2048,1,-5e-06,1498.0,123,16,,,,,,,,,,,
4096,2,-1.25e-05,1498.0,122,33,0.9990141987800598,28.35764964801201,0.0009677612516384215,52.043846,-0.06439842283725739,0.00025,-9.99042050242424,10,0.2,0.95302734375,0.8299591839313507
6144,3,-1.0000000000000003e-05,1498.0,118,51,0.9771534204483032,-0.003471539001475321,0.00034378673843207255,102.75475,-0.07214938849210739,0.00025,-9.833942577242851,20,0.2,0.965185546875,0.8491871505975723
8192,4,-1.98e-05,1498.0,119,68,0.9732141494750977,-0.02326982921222225,0.0002848556192702745,144.19073,-0.05079229921102524,0.00025,-9.75309247970581,30,0.2,0.987353515625,0.8289240002632141
10240,5,-1.9e-05,1498.0,119,85,0.9714052081108093,0.8205333229794632,9.509615512399705e-05,130.33896,-0.07539769262075424,0.00025,-9.745963889360429,40,0.2,0.97353515625,0.8863573893904686
12288,6,-1.775e-05,1498.0,117,104,0.9747894406318665,0.5380155890947208,5.186171268576345e-05,140.93797,-0.1063847616314888,0.00025,-9.740646597743034,50,0.2,0.98447265625,0.9178506955504417
14336,7,-1.677777777777778e-05,1498.0,117,121,0.9794514775276184,0.0066273261327296495,5.570647646209181e-05,49.809906,-0.07818141579627991,0.00025,-9.78407339155674,60,0.2,0.98203125,0.9035384729504585
16384,8,-1.4700000000000002e-05,1498.0,117,138,0.9710036516189575,5.184832205600105,4.885058402237519e-05,81.72586,-0.07754767686128616,0.00025,-9.761730578541755,70,0.2,0.965966796875,0.9214096590876579
18432,9,-1.5583333333333337e-05,1498.0,116,158,0.9758707284927368,1.0720059290571953,3.0272028411104657e-05,47.374695,-0.004942488856613636,0.00025,-9.73140082359314,80,0.2,0.983935546875,0.9223946630954742
20480,10,-1.5000000000000004e-05,1498.0,116,175,0.9660136103630066,0.37544709429494105,3.870564161729817e-05,21.52697,0.017063450068235397,0.00025,-9.743915402889252,90,0.2,0.959619140625,0.9321034997701645
22528,11,-1.5533333333333336e-05,1498.0,116,193,0.9627375602722168,0.15511937402770853,2.4135480097697835e-05,33.338043,-0.05585262179374695,0.00025,-9.675260835886002,100,0.2,0.978466796875,0.9302504733204842
24576,12,-1.83125e-05,1498.0,116,211,0.9717138409614563,1.2218789492879296,1.7119203593551902e-05,47.12568,0.12740421295166016,0.00025,-9.700970622897149,110,0.2,0.979931640625,0.9201753884553909
26624,13,-1.9e-05,1498.0,116,228,0.9652854204177856,0.4124928559482214,2.525090240723671e-05,19.886189,0.11490802466869354,0.00025,-9.717303588986397,120,0.2,0.96640625,0.9101821854710579
