time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,rollout/ep_len_mean,train/approx_kl,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean
1,122,2048,16,,,,,,,,,,,,,
2,111,4096,36,-0.01380146387964487,0.00025,0.3,0.055517578125,2960.0,0.015715674,-0.9378948211669922,0.9980754256248474,-0.013833649190200959,-9.926861083507537,10,0.004158928808465134,-0.000142
3,108,6144,56,-0.026716891676187515,0.00025,0.3,0.047607421875,2960.0,0.014985042,0.10015630722045898,1.003660798072815,-0.013845819215930533,-9.93820654153824,20,0.001611278750715428,-0.000161
4,110,8192,74,-0.02451888471841812,0.00025,0.3,0.066015625,2960.0,0.01815648,0.5753330588340759,0.9916402101516724,-0.01635801502270624,-9.91673368215561,30,0.0005613806064502569,-0.000161
5,108,10240,94,-0.013034882955253124,0.00025,0.3,0.0607421875,2960.0,0.015800677,-0.437160849571228,0.9876381754875183,-0.016095762771146837,-9.858805379271507,40,0.0002106327695400978,-0.00016266666666666667
6,107,12288,114,-0.002723402576521039,0.00025,0.3,0.06669921875,2960.0,0.01709701,0.8191228210926056,0.9837391972541809,-0.017834118905011565,-9.829942095279694,50,0.00020946865022324345,-0.00014600000000000003
7,108,14336,132,-0.0064327288419008255,0.00025,0.3,0.046435546875,2960.0,0.016182296,0.861952543258667,0.9814512133598328,-0.015486133172817062,-9.804346984624862,60,0.00015201049457118642,-0.00014600000000000003
8,107,16384,151,-0.023418951779603958,0.00025,0.3,0.07265625,2960.0,0.019828856,-0.21034979820251465,0.9805335998535156,-0.019266058988432633,-9.794862806797028,70,9.510420351261928e-05,-0.00014560000000000002
9,107,18432,171,-0.009833203628659248,0.00025,0.3,0.057421875,2960.0,0.018320259,0.8651023358106613,0.9788545370101929,-0.015912759832281152,-9.782717198133469,80,9.833735884967609e-05,-0.00013983333333333336
10,107,20480,190,-0.0686212033033371,0.00025,0.3,0.063720703125,2960.0,0.020476539,0.8591343015432358,0.9725322723388672,-0.018182675042771733,-9.75775702893734,90,7.628161954471579e-05,-0.00013983333333333336
11,107,22528,210,-0.013471026904881,0.00025,0.3,0.03857421875,2960.0,0.0124381,-0.28962278366088867,0.973973274230957,-0.013320096301322337,-9.743030649423599,100,5.410828553067404e-05,-0.00012871428571428574
