time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
2048,105,1,19,,,,,,,,,,,,,
4096,97,2,42,0.005651313000998926,0.00025,-0.000169,-0.01240449467804865,10,3212.0,0.015011804,0.046923828125,0.3,0.9999257922172546,-1.6062114238739014,-9.933541965484618,-0.020100027322769165
6144,97,3,62,0.0012323420845859801,0.00025,-0.000169,-0.014244603443512461,20,3212.0,0.014928672,0.05029296875,0.3,1.0125024318695068,0.4375550150871277,-9.975968554615974,-0.030742716044187546
8192,95,4,86,0.00032075612696189635,0.00025,-0.000214,-0.01632729849225143,30,3212.0,0.015555084,0.051953125,0.3,1.0089008808135986,0.7902495265007019,-10.007515674829483,-0.05112219229340553
10240,93,5,109,0.00023018348545065238,0.00025,-0.0002,-0.022141571290558205,40,3212.0,0.019574262,0.08935546875,0.3,1.0034517049789429,0.6904381811618805,-9.974812230467796,-0.05412764102220535
12288,94,6,130,0.0002344732056144494,0.00025,-0.0002,-0.013726253792992794,50,3212.0,0.015346323,0.068603515625,0.3,1.010322093963623,0.8599262833595276,-9.980175530910492,-0.055164534598588943
14336,93,7,153,9.641444589760794e-05,0.00025,-0.0001875,-0.015933916401991155,60,3212.0,0.018327376,0.06298828125,0.3,1.013383150100708,0.8921540975570679,-10.014236482977868,-0.06613246351480484
16384,92,8,176,0.00013988699581659602,0.00025,-0.00018879999999999998,-0.01911555045080604,70,3212.0,0.019919774,0.07705078125,0.3,1.0121716260910034,0.8154501765966415,-10.019480475783348,-0.01685265637934208
18432,93,9,197,0.00010458645078870177,0.00025,-0.00018879999999999998,-0.0157083491794765,80,3212.0,0.01631863,0.06181640625,0.3,1.0079851150512695,0.8108915835618973,-10.001538333296775,-0.05776342749595642
20480,92,10,220,5.1656447283221496e-05,0.00025,-0.00019483333333333332,-0.01805691092595225,90,3212.0,0.017464101,0.056640625,0.3,1.004291296005249,0.7446790337562561,-9.972914686799049,-0.04904519021511078
22528,92,11,244,7.879443029423783e-05,0.00025,-0.00018657142857142855,-0.01559589353564661,100,3212.0,0.013751466,0.060107421875,0.3,1.0024222135543823,0.8354805111885071,-9.948764085769653,-0.009737491607666016
24576,92,12,265,7.367249775143136e-05,0.00025,-0.00018657142857142855,-0.017188388816430235,110,3212.0,0.016196892,0.062255859375,0.3,0.9991467595100403,0.7629314959049225,-9.92985503077507,0.006868282333016396
